ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error,Requalification_Action_v0_27,Shadow_Data_Qualification_v0_27,Further_Blind_Redownload_v0_27
WS:US:MP,MP,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:MRNA,MRNA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:MXL,MXL,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:PRIM,PRIM,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:Q,Q,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,211,210,0,0,0.0,2025-10-27,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:SEZL,SEZL,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:SOLS,SOLS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,216,215,0,0,0.0,2025-10-20,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:STRL,STRL,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:VGNT,VGNT,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,107,106,0,0,0.0,2026-03-27,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:VIR,VIR,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:VRRM,VRRM,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,1,0.0,2024-08-29,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_SUSPICIOUS_RETURN_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:US:VSNT,VSNT,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,177,176,0,0,0.0,2025-12-15,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XAMS:CSG.AS,CSG.AS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,153,152,0,0,0.0,2026-01-23,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XAMS:MICCT.AS,MICC.AS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,184,183,0,0,0.0,2025-12-08,2026-08-27,2026-08-29T05:56:58+00:00,YF-20260829T055657607591-bbb62472-R,NO_DATA_IN_BATCH,PERSISTENT_DATA_QUALITY_EXCLUSION,FAIL_CLOSED_DATA_QUALITY,False
WS:XASX:ASK,ASK.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,31,31,0,0,0.0,2026-07-17,2026-08-28,2026-08-29T05:56:53+00:00,YF-20260829T055652572436-0db2a011,,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,FAIL_CLOSED_NON_READY,False
WS:XASX:L1G,L1G.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,229,229,0,0,0.004366812227074236,2025-10-03,2026-08-28,2026-08-29T05:56:55+00:00,YF-20260829T055654534985-a4f715c2,,STRUCTURAL_TEMPORAL_EXCLUSION_UNTIL_HISTORY_MATURES,FAIL_CLOSED_NON_READY,False
