WS_ID,Yahoo_Symbol,History_State,History_Source,Unique_Bars,Valid_Bars,First_Bar,Last_Bar,Future,Duplicates,Dup_Source,Pass_260,Pass_252,Bar_QA_Status,Eligibility_DryRun,Sqlite_Used
WS:ISIN:INE101A01026,M&M.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE123W01016,SBILIFE.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION,NO
WS:ISIN:INE154A01025,ITC.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE155A01022,TMPV.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE192A01025,TATACONSUM.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,LOW_LIQUIDITY_EXCEPTION,NO
WS:ISIN:INE213A01029,ONGC.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE237A01036,KOTAKBANK.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE238A01034,AXISBANK.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE239A01024,NESTLEIND.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE263A01024,BEL.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE280A01028,TITAN.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE296A01032,BAJFINANCE.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE397D01024,BHARTIARTL.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE423A01024,ADANIENT.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE437A01024,APOLLOHOSP.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE467B01029,TCS.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE481G01011,ULTRACEMCO.NS,PASS_HISTORY_CURRENT,v0.38,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE522F01014,COALINDIA.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:INE585B01010,MARUTI.NS,PASS_HISTORY_CURRENT,v0.38,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
