WS_ID,Yahoo_Symbol,Name,Primary_MIC,Mapping_Status,Instrument_Type,Share_Class,History_State,History_Source,Unique_Bars,Valid_Bars,Liquidity_Class,Liquidity_Source,Usable20,MedianTurnover20_EUR,Quote_Scale,Eligibility_DryRun,In_v0_50_147,Universe_Write,Scalable_Universe_Raw,Scalable_QA,Scalable_Live_Check,Bar_Unique,Bar_Valid,Bar_First,Bar_Last,Bar_Future,Bar_Dups,Bar_Dup_Source,Bar_QA_Status,Eligibility_DryRun_Unchanged
WS:ISIN:INE296A01032,BAJFINANCE.NS,Bajaj Finance Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,47471317.62,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE397D01024,BHARTIARTL.NS,Bharti Airtel Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,99633968.49,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE423A01024,ADANIENT.NS,Adani Enterprises Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,24539943.76,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE437A01024,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,23475722.32,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE467B01029,TCS.NS,Tata Consultancy Services Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,49605642.57,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE481G01011,ULTRACEMCO.NS,UltraTech Cement Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,21844639.05,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE522F01014,COALINDIA.NS,Coal India Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,19511107.4,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE585B01010,MARUTI.NS,Maruti Suzuki India Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,34793280.69,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE646L01027,INDIGO.NS,InterGlobe Aviation Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,STANDARD,v0.38,20,19291391.44,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE669C01036,TECHM.NS,Tech Mahindra Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,30398883.44,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
