WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:ISIN:INE467B01029,Tata Consultancy Services Ltd.,INE467B01029,COMMON_STOCK,India,TCS,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE481G01011,UltraTech Cement Ltd.,INE481G01011,COMMON_STOCK,India,ULTRACEMCO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE522F01014,Coal India Ltd.,INE522F01014,COMMON_STOCK,India,COALINDIA,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE585B01010,Maruti Suzuki India Ltd.,INE585B01010,COMMON_STOCK,India,MARUTI,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE646L01027,InterGlobe Aviation Ltd.,INE646L01027,COMMON_STOCK,India,INDIGO,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE669C01036,Tech Mahindra Ltd.,INE669C01036,COMMON_STOCK,India,TECHM,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE721A01047,Shriram Finance Ltd.,INE721A01047,COMMON_STOCK,India,SHRIRAMFIN,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE733E01010,NTPC Ltd.,INE733E01010,COMMON_STOCK,India,NTPC,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE742F01042,Adani Ports and Special Economic Zone Ltd.,INE742F01042,COMMON_STOCK,India,ADANIPORTS,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
WS:ISIN:INE752E01010,Power Grid Corporation of India Ltd.,INE752E01010,COMMON_STOCK,India,POWERGRID,National Stock Exchange of India,XNSE,INR,,,IN_NIFTY50,IN_NIFTY50,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIFTY50,,2026-08-22 18:43:59.282,,
