WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,G3_Segment
WS:XTSE:WCN,Waste Connections Inc.,,UNKNOWN,Canada,WCN,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:RCH,Richelieu Hardware Ltd.,,UNKNOWN,Canada,RCH,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:GFL,GFL Environmental Inc. subordinate voting shares,,UNKNOWN,Canada,GFL,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:ONEX,ONEX Corporation Subordinate Voting Shares,,UNKNOWN,Canada,ONEX,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:SES,Secure Waste Infrastructure Corp.,,UNKNOWN,Canada,SES,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:EDR,Endeavour Silver Corp.,,UNKNOWN,Canada,EDR,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:LB,Laurentian Bank of Canada,,UNKNOWN,Canada,LB,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:SKE,Skeena Resources Limited,,UNKNOWN,Canada,SKE,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:CCA,Cogeco Communications Inc. Subordinate Voting Shares,,UNKNOWN,Canada,CCA,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:TXG,Torex Gold Resources Inc.,,UNKNOWN,Canada,TXG,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:MAU,Montage Gold Corp.,,UNKNOWN,Canada,MAU,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:TECK.B,Teck Resources Limited Class B Subordinate Voting Shares,,UNKNOWN,Canada,TECK.B,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:NXE,NexGen Energy Ltd.,,UNKNOWN,Canada,NXE,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:MG,Magna International Inc.,,UNKNOWN,Canada,MG,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:NTR,Nutrien Ltd.,,UNKNOWN,Canada,NTR,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:TSU,Trisura Group Ltd.,,UNKNOWN,Canada,TSU,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:ABRA,AbraSilver Resource Corp.,,UNKNOWN,Canada,ABRA,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:BIR,Birchcliff Energy Ltd.,,UNKNOWN,Canada,BIR,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:ERO,Ero Copper Corp.,,UNKNOWN,Canada,ERO,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:BDT,Bird Construction Inc.,,UNKNOWN,Canada,BDT,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:SXGC,Southern Cross Gold Consolidated Ltd.,,UNKNOWN,Canada,SXGC,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:WSP,WSP Global Inc.,,UNKNOWN,Canada,WSP,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:TOU,Tourmaline Oil Corp.,,UNKNOWN,Canada,TOU,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:IAU,i-80 Gold Corp.,,UNKNOWN,Canada,IAU,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:FTT,Finning International Inc.,,UNKNOWN,Canada,FTT,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:WCP,Whitecap Resources Inc.,,UNKNOWN,Canada,WCP,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:SOBO,South Bow Corporation,,UNKNOWN,Canada,SOBO,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:EFX,Enerflex Ltd.,,UNKNOWN,Canada,EFX,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTSE:CLS,Celestica Inc.,,UNKNOWN,Canada,CLS,Toronto Stock Exchange,XTSE,CAD,,,CA_TSX,CA_TSX,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_TMX_TSX_COMPOSITE,,2026-08-22 18:43:59.282,,,CA_TSX
WS:XTKS:6471,NSK LTD.,,COMMON_STOCK,Japan,6471,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:1963,JGC HOLDINGS CORP.,,COMMON_STOCK,Japan,1963,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:6504,"FUJI ELECTRIC CO., LTD.",,COMMON_STOCK,Japan,6504,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:5101,"THE YOKOHAMA RUBBER CO., LTD.",,COMMON_STOCK,Japan,5101,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:6113,"AMADA CO., LTD.",,COMMON_STOCK,Japan,6113,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:6305,"HITACHI CONST. MACH. CO., LTD.",,COMMON_STOCK,Japan,6305,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:2503,"KIRIN HOLDINGS CO., LTD.",,COMMON_STOCK,Japan,2503,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:4704,TREND MICRO INC.,,COMMON_STOCK,Japan,4704,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
WS:XTKS:7186,"YOKOHAMA FINANCIAL GROUP, INC.",,COMMON_STOCK,Japan,7186,Tokyo Stock Exchange,XTKS,JPY,,,JP_N225,JP_N225,True,ACTIVE_VERIFIED,UNMAPPED,NOT_VERIFIED,SRC_NIKKEI225,2026-07-31,2026-08-22 18:43:59.282,,,JP_N225
