Security_Key,Source_WS_ID,Evidence_Cohort,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Evidence_Artifact
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,BASE_1633,XNSE,HINDUNILVR,HINDUNILVR.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,BASE_1633,XNSE,HINDALCO,HINDALCO.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,BASE_1633,XNSE,HDFCBANK,HDFCBANK.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,BASE_1633,XNSE,SUNPHARMA,SUNPHARMA.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,BASE_1633,XNSE,GRASIM,GRASIM.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,BASE_1633,XNSE,SBIN,SBIN.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,BASE_1633,XNSE,EICHERMOT,EICHERMOT.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,BASE_1633,XNSE,TATASTEEL,TATASTEEL.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,BASE_1633,XNSE,DRREDDY,DRREDDY.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,BASE_1633,XNSE,ICICIBANK,ICICIBANK.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,BASE_1633,XNSE,M&M,M&M.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,BASE_1633,XNSE,ITC,ITC.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,BASE_1633,XNSE,TMPV,TMPV.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,BASE_1633,XNSE,ONGC,ONGC.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,BASE_1633,XNSE,KOTAKBANK,KOTAKBANK.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,BASE_1633,XNSE,AXISBANK,AXISBANK.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,BASE_1633,XNSE,NESTLEIND,NESTLEIND.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,BASE_1633,XNSE,BEL,BEL.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,BASE_1633,XNSE,TITAN,TITAN.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,BASE_1633,XNSE,BAJFINANCE,BAJFINANCE.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,BASE_1633,XNSE,BHARTIARTL,BHARTIARTL.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,BASE_1633,XNSE,ADANIENT,ADANIENT.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,BASE_1633,XNSE,APOLLOHOSP,APOLLOHOSP.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,BASE_1633,XNSE,TCS,TCS.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,BASE_1633,XNSE,ULTRACEMCO,ULTRACEMCO.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,BASE_1633,XNSE,COALINDIA,COALINDIA.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,BASE_1633,XNSE,MARUTI,MARUTI.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,BASE_1633,XNSE,INDIGO,INDIGO.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,BASE_1633,XNSE,TECHM,TECHM.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,BASE_1633,XNSE,SHRIRAMFIN,SHRIRAMFIN.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,BASE_1633,XNSE,NTPC,NTPC.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,BASE_1633,XNSE,ADANIPORTS,ADANIPORTS.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,BASE_1633,XNSE,POWERGRID,POWERGRID.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,BASE_1633,XNSE,JIOFIN,JIOFIN.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,BASE_1633,XNSE,ETERNAL,ETERNAL.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
