Primary_Ticker_Candidate,Security_Name_Official,B3_Type,Theoretical_Quantity,Participation_Pct,Segment_ID,Primary_MIC_Candidate,Source_ID,Source_URL,Source_AsOf_Observed_UTC,Canonical_Import_v0_30,Identity_Reconciliation_Required
GGPS3,GPS,ON      NM,314.841.214,"0,150",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864439+00:00,False,True
GMAT3,GRUPO MATEUS,ON      NM,457.961.064,"0,083",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864443+00:00,False,True
HAPV3,HAPVIDA,ON      NM,271.662.290,"0,067",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864446+00:00,False,True
HYPE3,HYPERA,ON      NM,321.083.946,"0,260",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864450+00:00,False,True
IGTI11,IGUATEMI S.A,UNT     N1,205.800.982,"0,188",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864453+00:00,False,True
INTB3,INTELBRAS,ON      NM,113.898.409,"0,064",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864457+00:00,False,True
IRBR3,IRBBRASIL RE,ON      NM,81.534.304,"0,174",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864461+00:00,False,True
ISAE4,ISA ENERGIA,PN      N1,460.013.216,"0,466",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864464+00:00,False,True
ITSA4,ITAUSA,PN      N1,5.970.738.360,"2,931",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864489+00:00,False,True
ITUB3,ITAUUNIBANCO,ON      N1,456.130.473,"0,734",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864493+00:00,False,True
