WS_ID,Yahoo_Symbol,Primary_Ticker_Source,Primary_Ticker_Resolved_Candidate,Reason,Verified_UTC
WS:XPAR:VLLP.PA,VK.PA,VLLP.PA,VK,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:51.492871+00:00
WS:XPAR:VLOF.PA,FR.PA,VLOF.PA,FR,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:51.493960+00:00
WS:XSTO:ASSAB.ST,ASSA-B.ST,ASSAb.ST,ASSA-B,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:51.705733+00:00
WS:XSTO:ATCOA.ST,ATCO-A.ST,ATCOa.ST,ATCO-A,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:51.706978+00:00
WS:XSTO:EVOG.ST,EVO.ST,EVOG.ST,EVO,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:53.000486+00:00
WS:XSTO:SHBA.ST,SHB-A.ST,SHBa.ST,SHB-A,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:56.988913+00:00
WS:XSTO:SOBIV.ST,SOBI.ST,SOBIV.ST,SOBI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:57.442533+00:00
WS:XSTO:SWEDA.ST,SWED-A.ST,SWEDa.ST,SWED-A,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:57.869633+00:00
WS:XSWX:BKWB.S,BKW.SW,BKWB.S,BKW,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:58.728642+00:00
WS:XSWX:SIGNC.S,SIGN.SW,SIGNC.S,SIGN,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.407329+00:00
WS:XWAR:ACPP.WA,ACP.WA,ACPP.WA,ACP,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.698510+00:00
WS:XWAR:ALEP.WA,ALE.WA,ALEP.WA,ALE,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:59.699838+00:00
WS:XWAR:LPPP.WA,LPP.WA,LPPP.WA,LPP,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.708440+00:00
WS:XWAR:MILP.WA,MIL.WA,MILP.WA,MIL,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.710617+00:00
WS:XWBO:ATSV.VI,ATS.VI,ATSV.VI,ATS,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:59.719612+00:00
WS:XWBO:BAWG.VI,BG.VI,BAWG.VI,BG,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.720745+00:00
WS:XWBO:ERST.VI,EBS.VI,ERST.VI,EBS,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.721869+00:00
WS:XWBO:RBIV.VI,RBI.VI,RBIV.VI,RBI,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.937282+00:00
WS:XWBO:VERB.VI,VER.VI,VERB.VI,VER,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.938427+00:00
WS:XWBO:VOES.VI,VOE.VI,VOES.VI,VOE,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.939521+00:00
WS:XWBO:WBSV.VI,WIE.VI,WBSV.VI,WIE,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:59.940643+00:00
WS:XMEX:AC,AC.MX,AC,AC,DERIVED_RULE,2026-08-23T22:05:00.582961+00:00
WS:XMEX:ALSEA,ALSEA.MX,ALSEA,ALSEA,DERIVED_RULE,2026-08-23T22:05:00.796158+00:00
WS:XMEX:AMXB,AMXB.MX,AMXB,AMXB,DERIVED_RULE,2026-08-23T22:05:00.797307+00:00
WS:XMEX:ASURB,ASURB.MX,ASUR B,ASURB,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:01.015037+00:00
WS:XMEX:BBAJIOO,BBAJIOO.MX,BBAJIO O,BBAJIOO,MARKET_RULE_VERIFIED_MX,2026-08-23T22:05:01.229671+00:00
