Group_ID,Classification,Normalized_Issuer_Name,WS_ID,Name,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,ISIN
NAME:f25bbea0b95d,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,byd,WS:XHKG:1211,BYD COMPANY,HK_HSI,XHKG,1211,1211.HK,
NAME:3e9baf33b150,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,cnooc,WS:XSHG:600938,CNOOC Limited,CN_CSI300,XSHG,600938,600938.SS,
NAME:3e9baf33b150,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,cnooc,WS:XHKG:883,CNOOC,HK_HSI,XHKG,883,0883.HK,
NAME:85e206838921,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,china mobile,WS:XSHG:600941,China Mobile Limited,CN_CSI300,XSHG,600941,600941.SS,
NAME:85e206838921,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,china mobile,WS:XHKG:941,CHINA MOBILE,HK_HSI,XHKG,941,0941.HK,
NAME:2f4cdd3b31b9,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,china telecom,WS:XSHG:601728,China Telecom Corporation Limited,CN_CSI300,XSHG,601728,601728.SS,
NAME:2f4cdd3b31b9,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,china telecom,WS:XHKG:728,CHINA TELECOM,HK_HSI,XHKG,728,0728.HK,
NAME:e5c416b13065,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,petrochina,WS:XSHG:601857,PetroChina Co Ltd,CN_CSI300,XSHG,601857,601857.SS,
NAME:e5c416b13065,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,petrochina,WS:XHKG:857,PETROCHINA,HK_HSI,XHKG,857,0857.HK,
NAME:ba8c12a6f091,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,bank of china,WS:XSHG:601988,Bank of China Ltd,CN_CSI300,XSHG,601988,601988.SS,
NAME:ba8c12a6f091,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,bank of china,WS:XHKG:3988,BANK OF CHINA,HK_HSI,XHKG,3988,3988.HK,
NAME:ed7077680c73,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,wuxi apptec,WS:XSHG:603259,"WuXi AppTec Co., Ltd.",CN_CSI300,XSHG,603259,603259.SS,
NAME:ed7077680c73,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,wuxi apptec,WS:XHKG:2359,WUXI APPTEC,HK_HSI,XHKG,2359,2359.HK,
NAME:302aa746912a,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,prosus,WS:XAMS:PRX.AS,Prosus,EU_STOXX600,XAMS,PRX.AS,PRX.AS,
NAME:302aa746912a,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,prosus,WS:SRC:ZA_TOP40:302AA746912AD383,Prosus,ZA_TOP40,XJSE,,PRX.JO,
NAME:c46c9a1e2438,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,anglo american,WS:XLON:AAL.L,ANGLO AMERICAN,EU_STOXX600,XLON,AAL.L,AAL.L,
NAME:c46c9a1e2438,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,anglo american,WS:SRC:ZA_TOP40:C46C9A1E2438665A,Anglo American,ZA_TOP40,XJSE,,AGL.JO,
NAME:856ed7b9e6cb,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,glencore,WS:XLON:GLEN.L,GLENCORE PLC,EU_STOXX600,XLON,GLEN.L,GLEN.L,
NAME:856ed7b9e6cb,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,glencore,WS:SRC:ZA_TOP40:856ED7B9E6CBDE42,Glencore,ZA_TOP40,XJSE,,GLN.JO,
NAME:8f58aec30b98,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,investec,WS:XLON:INVP.L,INVESTEC,EU_STOXX600,XLON,INVP.L,INVP.L,
NAME:8f58aec30b98,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,investec,WS:SRC:ZA_TOP40:13F6B84E5B9DFB4E,Investec PLC,ZA_TOP40,XJSE,,INP.JO,
NAME:8f58aec30b98,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,investec,WS:SRC:ZA_TOP40:226ACE3524DC99B3,Investec Ltd,ZA_TOP40,XJSE,,,
NAME:dffde2958f9e,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,mondi,WS:XLON:MNDI.L,MONDI,EU_STOXX600,XLON,MNDI.L,MNDI.L,
NAME:dffde2958f9e,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,mondi,WS:SRC:ZA_TOP40:DFFDE2958F9E4E6C,Mondi,ZA_TOP40,XJSE,,,
NAME:2870a1790f1d,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,eqt,WS:XSTO:EQTAB.ST,EQT,EU_STOXX600,XSTO,EQTAB.ST,EQT.ST,
NAME:2870a1790f1d,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,eqt,WS:US:EQT,EQT Corporation,US_SP1500,,EQT,EQT,
