WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XASX:CLW,Charter Hall Long WALE REIT,AU_ASX200,Australia,XASX,CLW,CLW.AX,DERIVED_RULE,CLW.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CMM,Capricorn Metals,AU_ASX200,Australia,XASX,CMM,CMM.AX,DERIVED_RULE,CMM.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CNU,Chorus,AU_ASX200,Australia,XASX,CNU,CNU.AX,DERIVED_RULE,CNU.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:COH,Cochlear,AU_ASX200,Australia,XASX,COH,COH.AX,DERIVED_RULE,COH.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:COL,Coles Group,AU_ASX200,Australia,XASX,COL,COL.AX,DERIVED_RULE,COL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CPU,Computershare,AU_ASX200,Australia,XASX,CPU,CPU.AX,DERIVED_RULE,CPU.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CQR,Charter Hall Retail REIT,AU_ASX200,Australia,XASX,CQR,CQR.AX,DERIVED_RULE,CQR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CSC,Capstone Copper,AU_ASX200,Australia,XASX,CSC,CSC.AX,DERIVED_RULE,CSC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CSL,CSL,AU_ASX200,Australia,XASX,CSL,CSL.AX,DERIVED_RULE,CSL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CTD,Corporate Travel Management,AU_ASX200,Australia,XASX,CTD,CTD.AX,DERIVED_RULE,CTD.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CWY,Cleanaway,AU_ASX200,Australia,XASX,CWY,CWY.AX,DERIVED_RULE,CWY.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:CYL,Catalyst Metals,AU_ASX200,Australia,XASX,CYL,CYL.AX,DERIVED_RULE,CYL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DBI,Dalrymple Bay Infrastructure,AU_ASX200,Australia,XASX,DBI,DBI.AX,DERIVED_RULE,DBI.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DNL,Dyno Nobel,AU_ASX200,Australia,XASX,DNL,DNL.AX,DERIVED_RULE,DNL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DOW,Downer Group,AU_ASX200,Australia,XASX,DOW,DOW.AX,DERIVED_RULE,DOW.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DRO,Droneshield,AU_ASX200,Australia,XASX,DRO,DRO.AX,DERIVED_RULE,DRO.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DRR,Deterra Royalties,AU_ASX200,Australia,XASX,DRR,DRR.AX,DERIVED_RULE,DRR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DXS,Dexus,AU_ASX200,Australia,XASX,DXS,DXS.AX,DERIVED_RULE,DXS.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:DYL,Deep Yellow,AU_ASX200,Australia,XASX,DYL,DYL.AX,DERIVED_RULE,DYL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:EBO,EBOS Group,AU_ASX200,Australia,XASX,EBO,EBO.AX,DERIVED_RULE,EBO.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:EDV,Endeavour Group,AU_ASX200,Australia,XASX,EDV,EDV.AX,DERIVED_RULE,EDV.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:EMR,Emerald Resources,AU_ASX200,Australia,XASX,EMR,EMR.AX,DERIVED_RULE,EMR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:EOS,Electro Optic Systems Holdings,AU_ASX200,Australia,XASX,EOS,EOS.AX,DERIVED_RULE,EOS.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:EVN,Evolution Mining,AU_ASX200,Australia,XASX,EVN,EVN.AX,DERIVED_RULE,EVN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:EVT,EVT,AU_ASX200,Australia,XASX,EVT,EVT.AX,DERIVED_RULE,EVT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:FBU,Fletcher Building,AU_ASX200,Australia,XASX,FBU,FBU.AX,DERIVED_RULE,FBU.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
