WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XLON:ADML.L,ADMIRAL GRP,EU_STOXX600,GB,XLON,ADML.L,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XLON:BKGH.L,BERKELEY GRP HLDG,EU_STOXX600,GB,XLON,BKGH.L,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XLON:BT.L,BT GRP,EU_STOXX600,GB,XLON,BT.L,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XLON:ICAG.L,IAG,EU_STOXX600,GB,XLON,ICAG.L,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XLON:ICGIN.L,ICG,EU_STOXX600,GB,XLON,ICGIN.L,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XLON:SJP.L,ST.JAMES'S PLACE CAPITAL,EU_STOXX600,GB,XLON,SJP.L,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMAD:AMA.MC,AMADEUS IT GROUP,EU_STOXX600,ES,XMAD,AMA.MC,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMAD:PUIGB.MC,PUIG BRANDS B,EU_STOXX600,ES,XMAD,PUIGb.MC,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMAD:SABE.MC,BCO SABADELL,EU_STOXX600,ES,XMAD,SABE.MC,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:A2.MI,A2A,EU_STOXX600,IT,XMIL,A2.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:AZMT.MI,AZIMUT HLDG,EU_STOXX600,IT,XMIL,AZMT.MI,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:BCU.MI,BRUNELLO CUCINELLI,EU_STOXX600,IT,XMIL,BCU.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:GASI.MI,ASSICURAZIONI GENERALI,EU_STOXX600,IT,XMIL,GASI.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:HRA.MI,HERA,EU_STOXX600,IT,XMIL,HRA.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:ITPG.MI,INTERPUMP GRP,EU_STOXX600,IT,XMIL,ITPG.MI,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:NEXII.MI,NEXI SPA,EU_STOXX600,IT,XMIL,NEXII.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:RECI.MI,RECORDATI,EU_STOXX600,IT,XMIL,RECI.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMIL:TENR.MI,TENARIS,EU_STOXX600,IT,XMIL,TENR.MI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XOSL:GJFG.OL,GJENSIDIGE FORSIKRING,EU_STOXX600,NO,XOSL,GJFG.OL,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:BOUY.PA,BOUYGUES,EU_STOXX600,FR,XPAR,BOUY.PA,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:CAGR.PA,CREDIT AGRICOLE,EU_STOXX600,FR,XPAR,CAGR.PA,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:CAPP.PA,CAP GEMINI,EU_STOXX600,FR,XPAR,CAPP.PA,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:DAST.PA,DASSAULT SYSTEMS,EU_STOXX600,FR,XPAR,DAST.PA,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:HRMS.PA,HERMES INTERNATIONAL,EU_STOXX600,FR,XPAR,HRMS.PA,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:LVMH.PA,LVMH MOET HENNESSY,EU_STOXX600,FR,XPAR,LVMH.PA,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:MICP.PA,MICHELIN,EU_STOXX600,FR,XPAR,MICP.PA,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:PUBP.PA,PUBLICIS GRP,EU_STOXX600,FR,XPAR,PUBP.PA,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:SCOR.PA,SCOR,EU_STOXX600,FR,XPAR,SCOR.PA,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XPAR:SOGN.PA,GRP SOCIETE GENERALE,EU_STOXX600,FR,XPAR,SOGN.PA,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:ADDTB.ST,ADDTECH B,EU_STOXX600,SE,XSTO,ADDTb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:AVANZ.ST,AVANZA BANK HLDG,EU_STOXX600,SE,XSTO,AVANZ.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:BALDB.ST,FASTIGHETS BALDER B,EU_STOXX600,SE,XSTO,BALDb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:BEIJB.ST,BEIJER REF AB,EU_STOXX600,SE,XSTO,BEIJb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:EPIRA.ST,EPIROC A,EU_STOXX600,SE,XSTO,EPIRa.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:ERICB.ST,ERICSSON LM B,EU_STOXX600,SE,XSTO,ERICb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:ESSITYB.ST,Essity B,EU_STOXX600,SE,XSTO,ESSITYb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:GETIB.ST,GETINGE B,EU_STOXX600,SE,XSTO,GETIb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:HEXAB.ST,HEXAGON B,EU_STOXX600,SE,XSTO,HEXAb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:HMB.ST,HENNES & MAURITZ B,EU_STOXX600,SE,XSTO,HMb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:HOLMB.ST,HOLMEN B,EU_STOXX600,SE,XSTO,HOLMb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:INDUC.ST,INDUSTRIVARDEN C,EU_STOXX600,SE,XSTO,INDUc.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:INVEB.ST,INVESTOR B,EU_STOXX600,SE,XSTO,INVEb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:LAGRB.ST,LAGERCRANTZ GROUP 'B',EU_STOXX600,SE,XSTO,LAGRb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:LATOB.ST,LATOUR INVESTMENT B,EU_STOXX600,SE,XSTO,LATOb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:LIFCOB.ST,LIFCO B,EU_STOXX600,SE,XSTO,LIFCOb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:LUNDB.ST,LUNDBERGFORETAGEN B,EU_STOXX600,SE,XSTO,LUNDb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:NIBEB.ST,NIBE INDUSTRIER B,EU_STOXX600,SE,XSTO,NIBEb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:OCTVSDB.ST,OCTAVE INTELLIGENCE SDR,EU_STOXX600,SE,XSTO,OCTVsdb.ST,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:SAABB.ST,SAAB B,EU_STOXX600,SE,XSTO,SAABb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
