WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_Gate_State,Identity_Gate_State,Instrument_Gate_State,Liquidity_Class,Mapping_State,History_Gate_State,History_First_Date,History_Last_Completed_Date,Unique_Daily_Bars,Valid_Completed_Bars,Scalable_Tradeability_Status,Eligibility_Plan_State,Provider,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:RADL3,BVMF,RADL3,RADL3.SA,RAIADROGASIL,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:RAIL3,BVMF,RAIL3,RAIL3.SA,RUMO S.A.,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,749,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:RDOR3,BVMF,RDOR3,RDOR3.SA,REDE D OR,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:RENT3,BVMF,RENT3,RENT3.SA,LOCALIZA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:SBSP3,BVMF,SBSP3,SBSP3.SA,SABESP,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:SMFT3,BVMF,SMFT3,SMFT3.SA,SMART FIT,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:SUZB3,BVMF,SUZB3,SUZB3.SA,SUZANO S.A.,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:TIMS3,BVMF,TIMS3,TIMS3.SA,TIM,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:TOTS3,BVMF,TOTS3,TOTS3.SA,TOTVS,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:UGPA3,BVMF,UGPA3,UGPA3.SA,ULTRAPAR,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:VALE3,BVMF,VALE3,VALE3.SA,VALE,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:VBBR3,BVMF,VBBR3,VBBR3.SA,VIBRA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:VIVT3,BVMF,VIVT3,VIVT3.SA,TELEF BRASIL,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:WEGE3,BVMF,WEGE3,WEGE3.SA,WEG,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
