WS_ID,Primary_MIC,Primary_Ticker,Security_Name,Instrument_Type,Source_ID,Source_AsOf,Source_Superset_Member,Source_Gate_State,Identity_Gate_State,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_Plan_State,Scalable_Tradeability_Status,Planned_Master_Action,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:PRIO3,BVMF,PRIO3,PRIO,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:PSSA3,BVMF,PSSA3,PORTO SEGURO,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:RADL3,BVMF,RADL3,RAIADROGASIL,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:RAIL3,BVMF,RAIL3,RUMO S.A.,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:RAPT4,BVMF,RAPT4,RANDON PART,PREFERRED_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:RDOR3,BVMF,RDOR3,REDE D OR,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:RECV3,BVMF,RECV3,PETRORECSA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:RENT3,BVMF,RENT3,LOCALIZA,ORDINARY_SHARE,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_U3K_NOT_READY_DATA_QUALITY,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SANB11,BVMF,SANB11,SANTANDER BR,UNIT,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
WS:BVMF:SAPR11,BVMF,SAPR11,SANEPAR,UNIT,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,True,PASS_OFFICIAL_B3_IBRX100,PASS,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,ADD_TO_SOURCE_SUPERSET_ONLY,False,False
