WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Date,Close_BRL,Volume,Turnover_BRL,EURBRL,EURBRL_Source_Date,Turnover_EUR,Price_Valid,Volume_Valid,FX_Valid,Session_Valid,Provider,Turnover_Method
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-15,16.56999969,19463100.0,322503561.06,5.86854506,2026-06-15,54954602.55,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-16,16.44000053,13495700.0,221869315.21,5.87889481,2026-06-16,37739970.27,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-17,16.19000053,32858800.0,531983989.55,5.91716003,2026-06-17,89905290.12,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-18,16.21999931,41278300.0,669533997.66,5.88928223,2026-06-18,113686858.92,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-19,16.04999924,26925200.0,432149439.46,5.93119812,2026-06-19,72860395.27,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-22,16.17000008,22020700.0,356074720.68,5.89622593,2026-06-22,60390277.6,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-23,16.37000084,27581700.0,451512452.15,5.88928223,2026-06-23,76666805.02,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-24,16.37999916,22826200.0,373893136.84,5.91016483,2026-06-24,63262725.73,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-25,16.38999939,18193000.0,298183258.9,5.90667486,2026-06-25,50482423.0,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-26,16.72999954,21690800.0,362887074.07,5.89622593,2026-06-26,61545652.83,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-29,16.59000015,17657800.0,292942904.69,5.88235283,2026-06-29,49800294.75,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-06-30,16.29000092,22299700.0,363262133.42,5.91716003,2026-06-30,61391297.74,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-07-01,16.20000076,17744600.0,287462533.54,5.89970493,2026-07-01,48724900.11,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-07-02,16.29999924,17656700.0,287804196.53,5.93471813,2026-07-02,48495006.86,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-07-03,16.29000092,6915200.0,112648614.33,5.95947599,2026-07-03,18902436.13,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-07-06,15.88000011,32014900.0,508396615.66,5.92417097,2026-07-06,85817343.58,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-07-07,15.60999966,37381000.0,583517397.17,5.87889481,2026-07-07,99256308.61,True,True,True,True,YFINANCE_FREE,PRICE_X_VOLUME_TURNOVER_APPROXIMATION
