WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Price_AsOf,Valid_Sessions,MedianTurnover20_BRL,MedianTurnover20_EUR,EURBRL_AsOf,Liquidity_Class,Data_Quality_State,Provider,Mapping_State,Turnover_Method,Eligibility_Promotion_v0_32,Canonical_Master_Import_v0_32
WS:BVMF:HAPV3,BVMF,HAPV3,HAPV3.SA,HAPVIDA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,62633795.48,10669722.55,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:HYPE3,BVMF,HYPE3,HYPE3.SA,HYPERA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,62397795.55,10591691.02,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:INTB3,BVMF,INTB3,INTB3.SA,INTELBRAS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,14265746.9,2380261.5,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:IRBR3,BVMF,IRBR3,IRBR3.SA,IRBBRASIL RE,ORDINARY_SHARE,2026-08-31,2026-08-27,83,28085996.62,4766196.48,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ITUB3,BVMF,ITUB3,ITUB3.SA,ITAUUNIBANCO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,68052148.78,11279442.48,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:JHSF3,BVMF,JHSF3,JHSF3.SA,JHSF PART,ORDINARY_SHARE,2026-08-31,2026-08-27,83,36017816.57,5991378.26,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:LREN3,BVMF,LREN3,LREN3.SA,LOJAS RENNER,ORDINARY_SHARE,2026-08-31,2026-08-27,83,193874412.7,32615988.04,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:MBRF3,BVMF,MBRF3,MBRF3.SA,MARFRIG,ORDINARY_SHARE,2026-08-31,2026-08-27,83,95340979.1,16117762.16,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:MDNE3,BVMF,MDNE3,MDNE3.SA,MOURA DUBEUX,ORDINARY_SHARE,2026-08-31,2026-08-27,83,24524079.4,4113451.43,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:MGLU3,BVMF,MGLU3,MGLU3.SA,MAGAZ LUIZA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,98925022.87,16519986.88,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:MOTV3,BVMF,MOTV3,MOTV3.SA,MOTIVA SA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,127856273.03,21279021.83,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:MOVI3,BVMF,MOVI3,MOVI3.SA,MOVIDA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,31148732.97,5281117.81,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:MRVE3,BVMF,MRVE3,MRVE3.SA,MRV,ORDINARY_SHARE,2026-08-31,2026-08-27,83,57659107.89,9746465.04,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
