WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Raw_Sessions,Valid_Sessions,Invalid_Price_Rows,Invalid_Volume_Rows,Missing_FX_Rows,Price_AsOf,EURBRL_AsOf,Mapping_State,Data_Quality_State,Data_Quality_Reason,Provider
WS:BVMF:EMBJ3,BVMF,EMBJ3,EMBJ3.SA,EMBRAER,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ENEV3,BVMF,ENEV3,ENEV3.SA,ENEVA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:EQTL3,BVMF,EQTL3,EQTL3.SA,EQUATORIAL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:EZTC3,BVMF,EZTC3,EZTC3.SA,EZTEC,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:FLRY3,BVMF,FLRY3,FLRY3.SA,FLEURY,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:GGPS3,BVMF,GGPS3,GGPS3.SA,GPS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:GMAT3,BVMF,GMAT3,GMAT3.SA,GRUPO MATEUS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:HAPV3,BVMF,HAPV3,HAPV3.SA,HAPVIDA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:HYPE3,BVMF,HYPE3,HYPE3.SA,HYPERA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:INTB3,BVMF,INTB3,INTB3.SA,INTELBRAS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:IRBR3,BVMF,IRBR3,IRBR3.SA,IRBBRASIL RE,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ITUB3,BVMF,ITUB3,ITUB3.SA,ITAUUNIBANCO,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:JHSF3,BVMF,JHSF3,JHSF3.SA,JHSF PART,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:LREN3,BVMF,LREN3,LREN3.SA,LOJAS RENNER,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MBRF3,BVMF,MBRF3,MBRF3.SA,MARFRIG,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MDNE3,BVMF,MDNE3,MDNE3.SA,MOURA DUBEUX,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MGLU3,BVMF,MGLU3,MGLU3.SA,MAGAZ LUIZA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MOTV3,BVMF,MOTV3,MOTV3.SA,MOTIVA SA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MOVI3,BVMF,MOVI3,MOVI3.SA,MOVIDA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MRVE3,BVMF,MRVE3,MRVE3.SA,MRV,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:MULT3,BVMF,MULT3,MULT3.SA,MULTIPLAN,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:NATU3,BVMF,NATU3,NATU3.SA,NATURA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ORVR3,BVMF,ORVR3,ORVR3.SA,ORIZON,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:PETR3,BVMF,PETR3,PETR3.SA,PETROBRAS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:PRIO3,BVMF,PRIO3,PRIO3.SA,PRIO,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:PSSA3,BVMF,PSSA3,PSSA3.SA,PORTO SEGURO,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:RADL3,BVMF,RADL3,RADL3.SA,RAIADROGASIL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:RAIL3,BVMF,RAIL3,RAIL3.SA,RUMO S.A.,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:RDOR3,BVMF,RDOR3,RDOR3.SA,REDE D OR,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:RECV3,BVMF,RECV3,RECV3.SA,PETRORECSA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:RENT3,BVMF,RENT3,RENT3.SA,LOCALIZA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SAUD3,BVMF,SAUD3,SAUD3.SA,BRADSAUDE,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SBSP3,BVMF,SBSP3,SBSP3.SA,SABESP,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SIMH3,BVMF,SIMH3,SIMH3.SA,SIMPAR,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SLCE3,BVMF,SLCE3,SLCE3.SA,SLC AGRICOLA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SMFT3,BVMF,SMFT3,SMFT3.SA,SMART FIT,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SMTO3,BVMF,SMTO3,SMTO3.SA,SAO MARTINHO,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:SUZB3,BVMF,SUZB3,SUZB3.SA,SUZANO S.A.,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:TEND3,BVMF,TEND3,TEND3.SA,TENDA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:TIMS3,BVMF,TIMS3,TIMS3.SA,TIM,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:TOTS3,BVMF,TOTS3,TOTS3.SA,TOTVS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:UGPA3,BVMF,UGPA3,UGPA3.SA,ULTRAPAR,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:VALE3,BVMF,VALE3,VALE3.SA,VALE,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:VAMO3,BVMF,VAMO3,VAMO3.SA,VAMOS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:VBBR3,BVMF,VBBR3,VBBR3.SA,VIBRA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:VIVA3,BVMF,VIVA3,VIVA3.SA,VIVARA S.A.,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:VIVT3,BVMF,VIVT3,VIVT3.SA,TELEF BRASIL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:WEGE3,BVMF,WEGE3,WEGE3.SA,WEG,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:YDUQ3,BVMF,YDUQ3,YDUQ3.SA,YDUQS PART,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
