WS_ID,Before_Row_SHA256,After_Row_SHA256,Changed
WS:XTSE:SES,60c58bf57bba50cd4a941a12189ecae0c3d5003582d1f6c48c8e56214b2e2e3a,60c58bf57bba50cd4a941a12189ecae0c3d5003582d1f6c48c8e56214b2e2e3a,False
WS:XTSE:SHOP,dd62566172c5c777ffb7fe84a47d9b5c02c51d44426c7810ef2f9bd59af3d5f2,dd62566172c5c777ffb7fe84a47d9b5c02c51d44426c7810ef2f9bd59af3d5f2,False
WS:XTSE:SIA,3a580e064b5183dea04a61778e89d3ca0080642a44c2ba66062ebc0c68da0fdc,3a580e064b5183dea04a61778e89d3ca0080642a44c2ba66062ebc0c68da0fdc,False
WS:XTSE:SII,704aa7915445f1529a5779b6a7e0f8c6da0b884728df77030aa6c1972ffd74e1,704aa7915445f1529a5779b6a7e0f8c6da0b884728df77030aa6c1972ffd74e1,False
WS:XTSE:SJ,797c0e9184569484e0a4966ea32e98957344dcce45e7b816c0444c8e5e810640,797c0e9184569484e0a4966ea32e98957344dcce45e7b816c0444c8e5e810640,False
WS:XTSE:SKE,b01638cffbb7e7ff637d4086b4660522957f5a7b1502b0b0700cf3b5f110b505,b01638cffbb7e7ff637d4086b4660522957f5a7b1502b0b0700cf3b5f110b505,False
WS:XTSE:SLF,b2ad3bc75a31022f85660e3fa0f85667f2907a9ee9fd3c707e7ff9ab567fc0b3,b2ad3bc75a31022f85660e3fa0f85667f2907a9ee9fd3c707e7ff9ab567fc0b3,False
WS:XTSE:SOBO,2e0ea4fe5d36e9586a60ddc9cd9c26dc72c4b085309ada3187d8f2460233fc96,2e0ea4fe5d36e9586a60ddc9cd9c26dc72c4b085309ada3187d8f2460233fc96,False
WS:XTSE:SPB,86d21d2a4eb078b7add79426fb827dbe708a660e113de05abc6e52711cc1f771,86d21d2a4eb078b7add79426fb827dbe708a660e113de05abc6e52711cc1f771,False
WS:XTSE:SRU.UN,ead6cb1ed6f1b067645117c1237c0c6f84f1076eb4740fad55cb0546efdf9979,ead6cb1ed6f1b067645117c1237c0c6f84f1076eb4740fad55cb0546efdf9979,False
WS:XTSE:SSRM,44213849444ead90c04fc2968f8d8f533058fc8592a02459407329f2172acef9,44213849444ead90c04fc2968f8d8f533058fc8592a02459407329f2172acef9,False
WS:XTSE:STN,7f4ae85a8c97fa2da1b51b9544744fd3ef7d44cd70a645955cb49cba0ca040ae,7f4ae85a8c97fa2da1b51b9544744fd3ef7d44cd70a645955cb49cba0ca040ae,False
WS:XTSE:SU,3c1f88395770ef82591b439eb9e7187137f0e5481267a59c1226dca3bb780fc4,3c1f88395770ef82591b439eb9e7187137f0e5481267a59c1226dca3bb780fc4,False
WS:XTSE:SVM,a571728af2e8e2baf44bfe24ef65743c8cc63ebc14d8b004fbbb54932d35c789,a571728af2e8e2baf44bfe24ef65743c8cc63ebc14d8b004fbbb54932d35c789,False
WS:XTSE:SXGC,2e710406a3e965828f4d083aa503eb8b9c07c4d69480b578c2675a607e02194f,2e710406a3e965828f4d083aa503eb8b9c07c4d69480b578c2675a607e02194f,False
WS:XTSE:T,236907d3da32b0dea4e0e82766e91aec469cbb3f04ac270522fb64aa0453d8f6,236907d3da32b0dea4e0e82766e91aec469cbb3f04ac270522fb64aa0453d8f6,False
WS:XTSE:TA,025165cf1d1ee38e97ee5ee3f0574beb47e0b4502fd0bc3f19e13cb2613ef9ae,025165cf1d1ee38e97ee5ee3f0574beb47e0b4502fd0bc3f19e13cb2613ef9ae,False
WS:XTSE:TD,a6378ba10cc0a3629a5f17e3831d60d6822f69656457ebf868fe29fa5ab5c3f0,a6378ba10cc0a3629a5f17e3831d60d6822f69656457ebf868fe29fa5ab5c3f0,False
WS:XTSE:TECK.B,104057e8a0412cf2a8a1214cb8bee6ed8a04561f3f8785f9d287bba46ac533a9,104057e8a0412cf2a8a1214cb8bee6ed8a04561f3f8785f9d287bba46ac533a9,False
WS:XTSE:TFII,9189ec48ff6a082ca310132cff0c349544e20d1e83c80e98fb6497e45fcb5440,9189ec48ff6a082ca310132cff0c349544e20d1e83c80e98fb6497e45fcb5440,False
WS:XTSE:TFPM,abcc89560ffd609749207b45677e40dab968ddb06143566e4d00ce7b21b3af7a,abcc89560ffd609749207b45677e40dab968ddb06143566e4d00ce7b21b3af7a,False
WS:XTSE:TIH,a39335f57849193e40be03d8e28a5f5e5ce8774f5b1b316a3bc533c9e8694810,a39335f57849193e40be03d8e28a5f5e5ce8774f5b1b316a3bc533c9e8694810,False
WS:XTSE:TKO,4c7db9e354280c39e97b58c111681e5c2a7301fd83e6f15ef9b83da2e84af1e9,4c7db9e354280c39e97b58c111681e5c2a7301fd83e6f15ef9b83da2e84af1e9,False
WS:XTSE:TOU,3b6bf597e42d9ef5bee8bc0aff94b4de75cb6881598a7f4fe393f66c3c5df44e,3b6bf597e42d9ef5bee8bc0aff94b4de75cb6881598a7f4fe393f66c3c5df44e,False
WS:XTSE:TPZ,b7c15eb3901a0aba91b4915c0cf7280db6c8cfcadbb0014f90429bf5d394982e,b7c15eb3901a0aba91b4915c0cf7280db6c8cfcadbb0014f90429bf5d394982e,False
WS:XTSE:TRI,44417117a32c29878771219c6a4a6817154756ed474521354e416fa5ef4482a6,44417117a32c29878771219c6a4a6817154756ed474521354e416fa5ef4482a6,False
WS:XTSE:TRP,afa58348341103b2995bfe2e9feca0937a19ea78b6abc4d6dcde945761910a10,afa58348341103b2995bfe2e9feca0937a19ea78b6abc4d6dcde945761910a10,False
WS:XTSE:TSU,d41ef4d6e9c1ad75853acd672018f57ee0875e798328d1ded3a14a5da24aadfe,d41ef4d6e9c1ad75853acd672018f57ee0875e798328d1ded3a14a5da24aadfe,False
WS:XTSE:TVE,5d2b35bb9f5d8cbe15c140a071f083d52be70fb5d8c8a7e15e1695d60bb9f6a7,5d2b35bb9f5d8cbe15c140a071f083d52be70fb5d8c8a7e15e1695d60bb9f6a7,False
WS:XTSE:TVK,42821326c48ae0ba5481a0dfebe86f4898235c143df397a546fbee8e00ca24f9,42821326c48ae0ba5481a0dfebe86f4898235c143df397a546fbee8e00ca24f9,False
