Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,MedianTurnover20_EUR,Eligibility_DryRun,Prospective_Frozen_Status,Cap_Action,Freeze_Authorized,Universe_Write,Productive
46,WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,142256035.2798948,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
47,WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,26972774.333892286,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
48,WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,31639190.95997699,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
49,WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,74547233.56940481,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
50,WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,24588811.146303654,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
51,WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,39245459.39200002,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
52,WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,19224582.627052646,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
53,WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,120248056.01657584,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
54,WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,52618841.474584706,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
55,WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,30736925.00998172,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
56,WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,23400616.76204367,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
57,WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,24364161.27511967,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
58,WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,36825738.61552933,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
59,WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,52131297.44973051,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
60,WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,23604676.69789141,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
61,WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,34717614.71566627,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
62,WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,26196461.448945634,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
63,WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,47471317.617112786,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
64,WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,99633968.48774827,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
65,WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,24539943.76095742,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
66,WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,23475722.317748994,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
67,WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,49605642.56983438,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
68,WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,21844639.04759705,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
69,WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,COALINDIA,19511107.403258532,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
70,WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,XNSE,MARUTI,34793280.69207938,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
71,WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,XNSE,INDIGO,19291391.437173773,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
72,WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,XNSE,TECHM,30398883.442293458,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
73,WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,XNSE,SHRIRAMFIN,34124071.29115852,PASS_STRICT_CANDIDATE,PROSPECTIVE_FROZEN_MEMBER,NO_CAP_REQUIRED_LT_3000,NO,NO,NO
