WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XCSE:ALKB.CO,ALK-ABELLO B,ALKb.CO,,ALK-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:CARLB.CO,CARLSBERG B,CARLb.CO,,CARL-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:COLOB.CO,COLOPLAST B,COLOb.CO,,COLO-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:MAERSKB.CO,A.P.MOLLER-MAERSK B,MAERSKb.CO,,MAERSK-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:NOVOB.CO,NOVO NORDISK B,NOVOb.CO,,NOVO-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:NSISB.CO,NOVONESIS,NSISb.CO,,NSIS-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:ROCKB.CO,ROCKWOOL B,ROCKb.CO,,ROCK-B.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XCSE:ZELA.CO,ZEALAND PHARMA,ZELA.CO,,ZEAL.CO,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XDUB:AIBG.I,AIB GROUP,AIBG.I,,A5G.IR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XDUB:KSP.I,KINGSPAN GRP,KSP.I,,KRX.IR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XDUB:KYGA.I,KERRY GRP,KYGa.I,,KRZ.IR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:ADSGN.DE,ADIDAS,ADSGn.DE,,ADS.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:AG1G.DE,AUTO1 GROUP,AG1G.DE,,AG1.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:AIXGN.DE,AIXTRON,AIXGn.DE,,AIXA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:ALVG.DE,ALLIANZ,ALVG.DE,,ALV.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:AMV0N.DE,AUMOVIO,AMV0n.DE,,AMV0.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:BASFN.DE,BASF,BASFn.DE,,BAS.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:BAYGN.DE,BAYER,BAYGn.DE,,BAYN.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:BC8G.DE,BECHTLE,BC8G.DE,,BC8.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:BEIG.DE,BEIERSDORF,BEIG.DE,,BEI.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:BMWG.DE,BMW,BMWG.DE,,BMW.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:BNRGN.DE,BRENNTAG,BNRGn.DE,,BNR.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:CBKG.DE,COMMERZBANK,CBKG.DE,,CBK.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:CONG.DE,CONTINENTAL,CONG.DE,,CON.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:DB1GN.DE,DEUTSCHE BOERSE,DB1Gn.DE,,DB1.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:DBKGN.DE,DEUTSCHE BANK,DBKGn.DE,,DBK.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:DHLN.DE,DEUTSCHE POST,DHLn.DE,,DHL.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:DTEGN.DE,DEUTSCHE TELEKOM,DTEGn.DE,,DTE.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:DTGGE.DE,DAIMLER TRUCK,DTGGe.DE,,DTG.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:ENR1N.DE,SIEMENS ENERGY,ENR1n.DE,,ENR.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:EONGN.DE,E.ON,EONGn.DE,,EOAN.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:EVDG.DE,CTS EVENTIM,EVDG.DE,,EVD.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:EVKN.DE,EVONIK INDUSTRIES,EVKn.DE,,EVK.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:FMEG.DE,FRESENIUS MEDICAL CARE,FMEG.DE,,FME.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:FNTGN.DE,FREENET,FNTGn.DE,,FNTN.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:FPE3_P.DE,FUCHS PREF,FPE3_p.DE,,FPE3.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:FRAG.DE,FRAPORT,FRAG.DE,,FRA.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:FREG.DE,FRESENIUS,FREG.DE,,FRE.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:FTKN.DE,FLATEXDEGIRO N,FTKn.DE,,FTK.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:G1AG.DE,GEA GRP,G1AG.DE,,G1A.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:G24N.DE,SCOUT24,G24n.DE,,G24.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:GBFG.DE,BILFINGER,GBFG.DE,,GBF.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:HAGG.DE,HENSOLDT,HAGG.DE,,HAG.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:HEIG.DE,HEIDELBERG MATERIALS,HEIG.DE,,HEI.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:HNKG_P.DE,HENKEL PREF,HNKG_p.DE,,HEN3.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:HNRGN.DE,HANNOVER RUECK,HNRGn.DE,,HNR1.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:HOTG.DE,HOCHTIEF,HOTG.DE,,HOT.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
