WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XETR:BMWG.DE,BMW.DE,BMW,XETR,PREFERRED,68856290.02,stimmberechtigte Inhaber-Stammaktie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:CBKG.DE,CBK.DE,COMMERZBANK,XETR,PREFERRED,66109812.64,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:CONG.DE,CON.DE,CONTINENTAL,XETR,STANDARD,19653303.04,ordinary no-par shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DB1GN.DE,DB1.DE,DEUTSCHE BOERSE,XETR,PREFERRED,78485837.11,Registered shares without par value (ordinary equity),ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DBKGN.DE,DBK.DE,DEUTSCHE BANK,XETR,PREFERRED,125510128.21,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DHLN.DE,DHL.DE,DEUTSCHE POST,XETR,PREFERRED,71780171.39,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DTEGN.DE,DTE.DE,DEUTSCHE TELEKOM,XETR,PREFERRED,122613241.16,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:DTGGE.DE,DTG.DE,DAIMLER TRUCK,XETR,PREFERRED,45964037.51,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:ENR1N.DE,ENR.DE,SIEMENS ENERGY,XETR,PREFERRED,240523061.51,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:EONGN.DE,EOAN.DE,E.ON,XETR,PREFERRED,68237289.07,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:EVKN.DE,EVK.DE,EVONIK INDUSTRIES,XETR,STANDARD,18890244.32,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:FMEG.DE,FME.DE,FRESENIUS MEDICAL CARE,XETR,PREFERRED,28713238.14,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:FREG.DE,FRE.DE,FRESENIUS,XETR,PREFERRED,34631428.17,ordinary registered shares / Namensaktien,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:G1AG.DE,G1A.DE,GEA GRP,XETR,PREFERRED,20041283.93,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:G24N.DE,G24.DE,SCOUT24,XETR,PREFERRED,27350344.08,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HAGG.DE,HAG.DE,HENSOLDT,XETR,STANDARD,18132936.21,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HEIG.DE,HEI.DE,HEIDELBERG MATERIALS,XETR,PREFERRED,53027146.97,no-par value bearer shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HNRGN.DE,HNR1.DE,HANNOVER RUECK,XETR,PREFERRED,28437465.71,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:HOTG.DE,HOT.DE,HOCHTIEF,XETR,STANDARD,17782335.12,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:IFXGN.DE,IFX.DE,INFINEON TECHNOLOGIES,XETR,PREFERRED,185598625.16,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:LHAG.DE,LHA.DE,LUFTHANSA,XETR,PREFERRED,33135719.5,registered shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:MBGN.DE,MBG.DE,MERCEDES-BENZ GROUP,XETR,PREFERRED,74436768.78,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XETR:MTXGN.DE,MTX.DE,MTU AERO ENGINES,XETR,PREFERRED,38259708.88,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
