WS_ID,Gap_Family,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Source_State,Source_Reason,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Static_Symbol_Relation,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Candidate_Override,Terminal_Blocked,Network_Required_For_Next_Step
WS:XCSE:COLOB.CO,MAPPING,EU_STOXX600,XCSE,COLOb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,COLOb.CO,COLOB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XCSE:MAERSKB.CO,MAPPING,EU_STOXX600,XCSE,MAERSKb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,MAERSKb.CO,MAERSKB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XCSE:NOVOB.CO,MAPPING,EU_STOXX600,XCSE,NOVOb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,NOVOb.CO,NOVOB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XCSE:NSISB.CO,MAPPING,EU_STOXX600,XCSE,NSISb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,NSISb.CO,NSISB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XCSE:ROCKB.CO,MAPPING,EU_STOXX600,XCSE,ROCKb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ROCKb.CO,ROCKB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XCSE:ZELA.CO,MAPPING,EU_STOXX600,XCSE,ZELA.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ZELA.CO,ZELA.CO,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XDUB:AIBG.I,MAPPING,EU_STOXX600,XDUB,AIBG.I,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AIBG.I,AIBG.IR,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_SUFFIX_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XDUB:KSP.I,MAPPING,EU_STOXX600,XDUB,KSP.I,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,KSP.I,KSP.IR,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_SUFFIX_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XDUB:KYGA.I,MAPPING,EU_STOXX600,XDUB,KYGa.I,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,KYGa.I,KYGA.IR,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_SUFFIX_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:ADSGN.DE,MAPPING,EU_STOXX600,XETR,ADSGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ADSGn.DE,ADSGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:AG1G.DE,MAPPING,EU_STOXX600,XETR,AG1G.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AG1G.DE,AG1G.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:AIXGN.DE,MAPPING,EU_STOXX600,XETR,AIXGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AIXGn.DE,AIXGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:ALVG.DE,MAPPING,EU_STOXX600,XETR,ALVG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ALVG.DE,ALVG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
