WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Cache_Status,Cache_Reason,Liquidity_Data_Status,Liquidity_Gate,Liquidity_Bucket,MedianTurnover20_EUR,MedianTurnover60_EUR,Scalable_Tradeability_Status,Scalable_Gate,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Strict_Eligibility_v0_14,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,All_Blockers_v0_23
WS:XASX:ARB,ARB Corporation,Australia,AU_ASX200,XASX,ARB,ARB.AX,READY,,OK,FAIL,FAIL_LT_5M,3256403.8421027623,3875497.533390903,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:ARG,Argo Investments,Australia,AU_ASX200,XASX,ARG,ARG.AX,READY,,OK,FAIL,FAIL_LT_5M,2421294.0607067,2265582.436341236,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:ASB,Austal,Australia,AU_ASX200,XASX,ASB,ASB.AX,READY,,OK,FAIL,FAIL_LT_5M,4694679.261341825,3951156.031877147,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:BFL,BSP Financial Group,Australia,AU_ASX200,XASX,BFL,BFL.AX,READY,,OK,FAIL,FAIL_LT_5M,32045.338573522065,16020.793113023687,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:BGA,Bega Cheese,Australia,AU_ASX200,XASX,BGA,BGA.AX,READY,,OK,FAIL,FAIL_LT_5M,1909100.5155412294,2178850.6483769706,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:BWP,BWP Trust,Australia,AU_ASX200,XASX,BWP,BWP.AX,READY,,OK,FAIL,FAIL_LT_5M,2150547.867421749,2556702.395095482,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:CEN,Contact Energy,Australia,AU_ASX200,XASX,CEN,CEN.AX,READY,,OK,FAIL,FAIL_LT_5M,36214.79787851138,34804.822364331776,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:CIA,Champion Iron,Australia,AU_ASX200,XASX,CIA,CIA.AX,READY,,OK,FAIL,FAIL_LT_5M,4753008.164261768,4869338.934219049,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:CIP,Centuria Industrial REIT,Australia,AU_ASX200,XASX,CIP,CIP.AX,READY,,OK,FAIL,FAIL_LT_5M,1841495.9367792131,2288687.5730483094,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
WS:XASX:CLW,Charter Hall Long WALE REIT,Australia,AU_ASX200,XASX,CLW,CLW.AX,READY,,OK,FAIL,FAIL_LT_5M,3305001.9045404233,3816912.7354724025,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,LIQUIDITY_FAIL,FAIL_LT_5M,VALID_STRICT_LIQUIDITY_EXCLUSION,LIQUIDITY:FAIL:FAIL_LT_5M;INSTRUMENT:NOT_VERIFIED:NO_REASON
