WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,MedianTurnover20_EUR,Note
US1:US3687361044:XNYS,US3687361044,XNYS,GNRC,GNRC,Generac Holdings Inc.,151648419.31,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US3695501086:XNYS,US3695501086,XNYS,GD,GD,General Dynamics,267722021.49,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US37045V1008:XNYS,US37045V1008,XNYS,GM,GM,General Motors,367006382.65,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US3724601055:XNYS,US3724601055,XNYS,GPC,GPC,Genuine Parts Company,119184393.14,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US3755581036:XNAS,US3755581036,XNAS,GILD,GILD,Gilead Sciences,656490424.87,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US37940X1028:XNYS,US37940X1028,XNYS,GPN,GPN,Global Payments,201034811.4,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US37959E1029:XNYS,US37959E1029,XNYS,GL,GL,Globe Life,66087308.55,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US38141G1040:XNYS,US38141G1040,XNYS,GS,GS,Goldman Sachs,1545407080.19,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4062161017:XNYS,US4062161017,XNYS,HAL,HAL,Hindustan Aeronautics Limited,298591718.35,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4165151048:XNYS,US4165151048,XNYS,HIG,HIG,Q444110,137967906.03,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4180561072:XNAS,US4180561072,XNAS,HAS,HAS,Hays plc,110026338.17,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US40412C1018:XNYS,US40412C1018,XNYS,HCA,HCA,HCA Healthcare,410382429.67,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US8064071025:XNAS,US8064071025,XNAS,HSIC,HSIC,Henry Schein,67805240.71,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4278661081:XNYS,US4278661081,XNYS,HSY,HSY,The Hershey Company,170125042.72,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US42824C1099:XNYS,US42824C1099,XNYS,HPE,HPE,Hewlett Packard Enterprise,723317827.07,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US43300A2033:XNYS,US43300A2033,XNYS,HLT,HLT,Hilton Worldwide,487012582.63,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4370761029:XNYS,US4370761029,XNYS,HD,HD,The Home Depot,957010932.91,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4404521001:XNYS,US4404521001,XNYS,HRL,HRL,Hormel,86465980.26,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4435106079:XNYS,US4435106079,XNYS,HUBB,HUBB,Hubbell Incorporated,176903418.44,CLASS_A_CANDIDATE_NOT_UNIVERSE
