WS_ID,Ticker,ISIN,MIC,Instrument,Membership,IVV_ISIN,Identity,History,Liquidity,Eligibility,Canonical,Integration_Class,HONA
US1:US0605051046:XNYS,BAC,US0605051046,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0605051046,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0718131099:XNYS,BAX,US0718131099,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0718131099,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0758871091:XNYS,BDX,US0758871091,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0758871091,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0865161014:XNYS,BBY,US0865161014,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0865161014,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US09073M1045:XNAS,TECH,US09073M1045,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US09073M1045,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US09062X1037:XNAS,BIIB,US09062X1037,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US09062X1037,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US09247X1019:XNYS,BLK,US09247X1019,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US09290D1019,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US09253U1088:XNYS,BX,US09253U1088,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US09260D1072,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US8522341036:XNYS,XYZ,US8522341036,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US8522341036,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0640581007:XNYS,BNY,US0640581007,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0640581007,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0970231058:XNYS,BA,US0970231058,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0970231058,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US09857L1089:XNAS,BKNG,US09857L1089,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US09857L1089,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1011371077:XNYS,BSX,US1011371077,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1011371077,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1101221083:XNYS,BMY,US1101221083,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1101221083,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US11135F1012:XNAS,AVGO,US11135F1012,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US11135F1012,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US11133T1034:XNYS,BR,US11133T1034,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US11133T1034,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1152361010:XNYS,BRO,US1152361010,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1152361010,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1156371007:XNYS,BF.B,US1156371007,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US1156372096,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US12008R1077:XNYS,BLDR,US12008R1077,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US12008R1077,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US12541W2098:XNAS,CHRW,US12541W2098,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US12541W2098,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1273871087:XNAS,CDNS,US1273871087,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1273871087,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US14040H1059:XNYS,COF,US14040H1059,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US14040H1059,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US14149Y1082:XNYS,CAH,US14149Y1082,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US14149Y1082,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US14448C1045:XNYS,CARR,US14448C1045,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US14448C1045,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1468691027:XNYS,CVNA,US1468691027,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1468691027,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1475281036:XNAS,CASY,US1475281036,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1475281036,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1491231015:XNYS,CAT,US1491231015,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1491231015,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US12503M1080:XNAS,CBOE,US12503M1080,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US12503M1080,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US12514G1085:XNAS,CDW,US12514G1085,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US12514G1085,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US03073E1055:XNYS,COR,US03073E1055,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US03073E1055,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US15135B1017:XNYS,CNC,US15135B1017,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US15135B1017,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US15189T1079:XNYS,CNP,US15189T1079,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US15189T1079,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1252691001:XNYS,CF,US1252691001,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1252691001,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1598641074:XNYS,CRL,US1598641074,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1598641074,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US8085131055:XNYS,SCHW,US8085131055,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US8085131055,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US16117M3051:XNAS,CHTR,US16117M3051,XNAS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US16119P1084,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US1667641005:XNYS,CVX,US1667641005,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1667641005,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1696561059:XNYS,CMG,US1696561059,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1696561059,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1712321017:XNYS,CB,US1712321017,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,CH0044328745,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US1713401024:XNYS,CHD,US1713401024,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1713401024,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1255091092:XNYS,CI,US1255091092,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US1255231003,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US1720621010:XNAS,CINF,US1720621010,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1720621010,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1729081059:XNAS,CTAS,US1729081059,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1729081059,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US17275R1023:XNAS,CSCO,US17275R1023,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US17275R1023,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1729674242:XNYS,C,US1729674242,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1729674242,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1746101054:XNYS,CFG,US1746101054,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1746101054,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1890541097:XNYS,CLX,US1890541097,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1890541097,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US12572Q1058:XNAS,CME,US12572Q1058,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US12572Q1058,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1258961002:XNYS,CMS,US1258961002,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1258961002,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1912161007:XNYS,KO,US1912161007,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1912161007,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1924461023:XNAS,CTSH,US1924461023,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1924461023,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US19260Q1076:XNAS,COIN,US19260Q1076,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US19260Q1076,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US1941621039:XNYS,CL,US1941621039,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1941621039,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US20030N2001:XNAS,CMCSA,US20030N2001,XNAS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US20030N1019,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US1999081045:XNYS,FIX,US1999081045,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US1999081045,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US20825C1045:XNYS,COP,US20825C1045,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US20825C1045,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2091151041:XNYS,ED,US2091151041,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2091151041,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US21036P1084:XNYS,STZ,US21036P1084,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US21036P1084,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2166484020:XNYS,COO,US2166484020,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US2166485019,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US2172041061:XNAS,CPRT,US2172041061,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2172041061,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2193501051:XNYS,GLW,US2193501051,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2193501051,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US3390411052:XNYS,CPAY,US3390411052,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US2199481068,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US22052L1044:XNYS,CTVA,US22052L1044,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US22052L1044,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
