Security_Key,Source_WS_ID,Price_Cache_Status,Reason_Code,Unique_Bars,Valid_Bars,Strict_Invalid_Bars,Suspicious_Returns,Repaired_Rows,Zero_Volume_Share,First_Bar_Date,Last_Bar_Date,Currency_Binding,Provider_Symbol,Source
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,GRASIM.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,SBIN.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,EICHERMOT.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,TATASTEEL.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,DRREDDY.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,ICICIBANK.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,READY,,507,507,0,0,0,0.013806706114398421,2024-09-16,2026-09-24,INR,M&M.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,READY,,507,507,0,0,0,0.009861932938856016,2024-09-16,2026-09-24,INR,ITC.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,TMPV.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,ONGC.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,KOTAKBANK.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,AXISBANK.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,NESTLEIND.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,BEL.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,TITAN.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,BAJFINANCE.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,BHARTIARTL.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,ADANIENT.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,APOLLOHOSP.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,TCS.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,ULTRACEMCO.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,COALINDIA.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,MARUTI.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,READY,,506,506,0,0,0,0.009881422924901186,2024-09-16,2026-09-24,INR,INDIGO.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,TECHM.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,SHRIRAMFIN.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,NTPC.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,ADANIPORTS.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,POWERGRID.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,JIOFIN.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,READY,,507,507,0,0,0,0.015779092702169626,2024-09-16,2026-09-24,INR,ETERNAL.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,TRENT.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,HCLTECH.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,BAJAJ-AUTO.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,READY,,507,507,0,0,0,0.011834319526627219,2024-09-16,2026-09-24,INR,BAJAJFINSV.NS,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3661.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,READY,,492,492,0,0,0,0.0040650406504065045,2024-09-16,2026-09-24,TWD,3665.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,4958.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,1216.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,1303.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2059.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2301.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2303.TW,YFINANCE_FREE_REFRESH_V0_45
