WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XBRU:WDPP.BR,WDP.BR,WDP,XBRU,EUR,1.0,20,6684747.14,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XCSE:ALKB.CO,ALK-B.CO,ALK-ABELLO B,XCSE,DKK,1.0,20,5719012.89,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XCSE:CARLB.CO,CARL-B.CO,CARLSBERG B,XCSE,DKK,1.0,20,25400125.46,PREFERRED,OK,RESOLVED,2026-09-03
WS:XCSE:COLOB.CO,COLO-B.CO,COLOPLAST B,XCSE,DKK,1.0,20,19718977.39,STANDARD,OK,RESOLVED,2026-09-03
WS:XCSE:MAERSKB.CO,MAERSK-B.CO,A.P.MOLLER-MAERSK B,XCSE,DKK,1.0,20,42677963.1,PREFERRED,OK,RESOLVED,2026-09-03
WS:XCSE:NOVOB.CO,NOVO-B.CO,NOVO NORDISK B,XCSE,DKK,1.0,20,158003835.08,PREFERRED,OK,RESOLVED,2026-09-03
WS:XCSE:NSISB.CO,NSIS-B.CO,NOVONESIS,XCSE,DKK,1.0,20,26887196.26,PREFERRED,OK,RESOLVED,2026-09-03
WS:XCSE:ROCKB.CO,ROCK-B.CO,ROCKWOOL B,XCSE,DKK,1.0,20,15437842.03,STANDARD,OK,RESOLVED,2026-09-03
WS:XCSE:ZELA.CO,ZEAL.CO,ZEALAND PHARMA,XCSE,DKK,1.0,20,16186801.63,STANDARD,OK,RESOLVED,2026-09-03
WS:XDUB:AIBG.I,A5G.IR,AIB GROUP,XDUB,EUR,1.0,20,39884657.28,PREFERRED,OK,IDENTITY,2026-09-03
WS:XDUB:KSP.I,KRX.IR,KINGSPAN GRP,XDUB,EUR,1.0,20,37083468.11,PREFERRED,OK,IDENTITY,2026-09-03
WS:XDUB:KYGA.I,KRZ.IR,KERRY GRP,XDUB,EUR,1.0,20,20862292.53,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:ADSGN.DE,ADS.DE,ADIDAS,XETR,EUR,1.0,20,81109522.16,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:AG1G.DE,AG1.DE,AUTO1 GROUP,XETR,EUR,1.0,20,7072837.36,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:AIXGN.DE,AIXA.DE,AIXTRON,XETR,EUR,1.0,20,20700331.46,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:ALVG.DE,ALV.DE,ALLIANZ,XETR,EUR,1.0,20,189346303.0,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:BASFN.DE,BAS.DE,BASF,XETR,EUR,1.0,20,77887698.04,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:BAYGN.DE,BAYN.DE,BAYER,XETR,EUR,1.0,20,80255111.05,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:BC8G.DE,BC8.DE,BECHTLE,XETR,EUR,1.0,20,5235685.3,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:BEIG.DE,BEI.DE,BEIERSDORF,XETR,EUR,1.0,20,22103146.19,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:BMWG.DE,BMW.DE,BMW,XETR,EUR,1.0,20,68856290.02,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:BNRGN.DE,BNR.DE,BRENNTAG,XETR,EUR,1.0,20,14000564.8,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:CBKG.DE,CBK.DE,COMMERZBANK,XETR,EUR,1.0,20,66109812.64,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:CONG.DE,CON.DE,CONTINENTAL,XETR,EUR,1.0,20,19653303.04,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:DB1GN.DE,DB1.DE,DEUTSCHE BOERSE,XETR,EUR,1.0,20,78485837.11,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:DBKGN.DE,DBK.DE,DEUTSCHE BANK,XETR,EUR,1.0,20,125510128.21,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:DHLN.DE,DHL.DE,DEUTSCHE POST,XETR,EUR,1.0,20,71780171.39,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:DTEGN.DE,DTE.DE,DEUTSCHE TELEKOM,XETR,EUR,1.0,20,122613241.16,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:DTGGE.DE,DTG.DE,DAIMLER TRUCK,XETR,EUR,1.0,20,45964037.51,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:ENR1N.DE,ENR.DE,SIEMENS ENERGY,XETR,EUR,1.0,20,240523061.51,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:EONGN.DE,EOAN.DE,E.ON,XETR,EUR,1.0,20,68237289.07,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:EVDG.DE,EVD.DE,CTS EVENTIM,XETR,EUR,1.0,20,13950730.23,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:EVKN.DE,EVK.DE,EVONIK INDUSTRIES,XETR,EUR,1.0,20,18890244.32,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:FMEG.DE,FME.DE,FRESENIUS MEDICAL CARE,XETR,EUR,1.0,20,28713238.14,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:FNTGN.DE,FNTN.DE,FREENET,XETR,EUR,1.0,20,6421931.37,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:FPE3_P.DE,FPE3.DE,FUCHS PREF,XETR,EUR,1.0,20,2702932.39,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XETR:FRAG.DE,FRA.DE,FRAPORT,XETR,EUR,1.0,20,8027889.58,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:FREG.DE,FRE.DE,FRESENIUS,XETR,EUR,1.0,19,34631428.17,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:FTKN.DE,FTK.DE,FLATEXDEGIRO N,XETR,EUR,1.0,20,8006796.61,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:G1AG.DE,G1A.DE,GEA GRP,XETR,EUR,1.0,20,20041283.93,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:G24N.DE,G24.DE,SCOUT24,XETR,EUR,1.0,20,27350344.08,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:GBFG.DE,GBF.DE,BILFINGER,XETR,EUR,1.0,20,8755976.87,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XETR:HAGG.DE,HAG.DE,HENSOLDT,XETR,EUR,1.0,20,18132936.21,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:HEIG.DE,HEI.DE,HEIDELBERG MATERIALS,XETR,EUR,1.0,20,53027146.97,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:HNKG_P.DE,HEN3.DE,HENKEL PREF,XETR,EUR,1.0,20,23330579.82,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:HNRGN.DE,HNR1.DE,HANNOVER RUECK,XETR,EUR,1.0,20,28437465.71,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:HOTG.DE,HOT.DE,HOCHTIEF,XETR,EUR,1.0,20,17782335.12,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:IFXGN.DE,IFX.DE,INFINEON TECHNOLOGIES,XETR,EUR,1.0,20,185598625.16,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:LEGN.DE,LEG.DE,LEG IMMOBILIEN,XETR,EUR,1.0,20,11832409.14,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
