WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XPAR:STDM.PA,DIM.PA,SARTORIUS STEDIM BIOTECH,XPAR,EUR,1.0,20,13158894.5,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XPAR:TCFP.PA,HO.PA,THALES,XPAR,EUR,1.0,20,48598307.33,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:TEPRF.PA,TEP.PA,TELEPERFORMANCE,XPAR,EUR,1.0,20,16463410.38,STANDARD,OK,IDENTITY,2026-09-03
WS:XPAR:TTEF.PA,TTE.PA,TOTALENERGIES,XPAR,EUR,1.0,20,229567475.54,PREFERRED,OK,IDENTITY,2026-09-03
WS:XPAR:VLLP.PA,VK.PA,VALLOUREC,XPAR,EUR,1.0,20,15271977.0,STANDARD,OK,IDENTITY,2026-09-03
WS:XPAR:VLOF.PA,FR.PA,VALEO,XPAR,EUR,1.0,20,7652773.49,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XSTO:ADDTB.ST,ADDT-B.ST,ADDTECH B,XSTO,SEK,1.0,20,8680776.45,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:ASSAB.ST,ASSA-B.ST,ASSA ABLOY,XSTO,SEK,1.0,20,35673463.2,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:ATCOA.ST,ATCO-A.ST,ATLAS COPCO A,XSTO,SEK,1.0,20,63471330.51,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:AVANZ.ST,AZA.ST,AVANZA BANK HLDG,XSTO,SEK,1.0,20,7708170.55,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:BALDB.ST,BALD-B.ST,FASTIGHETS BALDER B,XSTO,SEK,1.0,20,10855811.03,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:BEIJB.ST,BEIJ-B.ST,BEIJER REF AB,XSTO,SEK,1.0,20,10723230.54,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:EPIRA.ST,EPI-A.ST,EPIROC A,XSTO,SEK,1.0,20,29389936.23,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:ERICB.ST,ERIC-B.ST,ERICSSON LM B,XSTO,SEK,1.0,20,61054648.75,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:ESSITYB.ST,ESSITY-B.ST,Essity B,XSTO,SEK,1.0,20,27144264.83,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:EVOG.ST,EVO.ST,EVOLUTION,XSTO,SEK,1.0,20,43532308.65,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:GETIB.ST,GETI-B.ST,GETINGE B,XSTO,SEK,1.0,20,9144192.76,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:HEXAB.ST,HEXA-B.ST,HEXAGON B,XSTO,SEK,1.0,20,28423581.76,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:HMB.ST,HM-B.ST,HENNES & MAURITZ B,XSTO,SEK,1.0,20,25104107.55,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:HOLMB.ST,HOLM-B.ST,HOLMEN B,XSTO,SEK,1.0,20,3566360.63,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XSTO:INDUC.ST,INDU-C.ST,INDUSTRIVARDEN C,XSTO,SEK,1.0,20,15493243.88,STANDARD,OK,RESOLVED,2026-09-03
WS:XSTO:INVEB.ST,INVE-B.ST,INVESTOR B,XSTO,SEK,1.0,20,80088394.71,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:LAGRB.ST,LAGR-B.ST,LAGERCRANTZ GROUP 'B',XSTO,SEK,1.0,20,3554062.43,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XSTO:LATOB.ST,LATO-B.ST,LATOUR INVESTMENT B,XSTO,SEK,1.0,20,9177449.66,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:LIFCOB.ST,LIFCO-B.ST,LIFCO B,XSTO,SEK,1.0,20,8199919.46,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:LUNDB.ST,LUND-B.ST,LUNDBERGFORETAGEN B,XSTO,SEK,1.0,20,5283885.04,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:NIBEB.ST,NIBE-B.ST,NIBE INDUSTRIER B,XSTO,SEK,1.0,20,22822740.14,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:SAABB.ST,SAAB-B.ST,SAAB B,XSTO,SEK,1.0,20,74420828.16,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:SAGAB.ST,SAGA-B.ST,SAGAX 'B',XSTO,SEK,1.0,20,8254849.22,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:SCAB.ST,SCA-B.ST,SVENSKA CELLULOSA AKTIE. SCA B,XSTO,SEK,1.0,20,13028562.26,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:SEBA.ST,SEB-A.ST,SKANDINAVISKA ENSKILDA BK A,XSTO,SEK,1.0,20,38166503.58,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:SECTB.ST,SECT-B.ST,SECTRA 'B',XSTO,SEK,1.0,20,1988609.23,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XSTO:SECUB.ST,SECU-B.ST,SECURITAS B,XSTO,SEK,1.0,20,14758429.47,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:SHBA.ST,SHB-A.ST,SVENSKA HANDELSBANKEN A,XSTO,SEK,1.0,20,42447716.14,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:SKAB.ST,SKA-B.ST,SKANSKA B,XSTO,SEK,1.0,20,14009681.68,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:SKFB.ST,SKF-B.ST,SKF B,XSTO,SEK,1.0,20,19225304.35,STANDARD,OK,RESOLVED,2026-09-03
WS:XSTO:SOBIV.ST,SOBI.ST,SWEDISH ORPHAN BIOVITRUM,XSTO,SEK,1.0,20,10949141.24,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:SSABB.ST,SSAB-B.ST,SSAB B,XSTO,SEK,1.0,20,21572279.36,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:SWECB.ST,SWEC-B.ST,SWECO 'B',XSTO,SEK,1.0,20,1926912.11,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XSTO:SWEDA.ST,SWED-A.ST,SWEDBANK,XSTO,SEK,1.0,20,44504316.03,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:TEL2B.ST,TEL2-B.ST,TELE2 B,XSTO,SEK,1.0,20,22563190.71,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSTO:TRELB.ST,TREL-B.ST,TRELLEBORG B,XSTO,SEK,1.0,20,9295723.82,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSTO:VOLVB.ST,VOLV-B.ST,VOLVO B,XSTO,SEK,1.0,20,84440231.0,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSWX:ALCC.S,ALC.SW,ALCON,XSWX,CHF,1.0,20,68958012.79,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSWX:BKWB.S,BKW.SW,BKW,XSWX,CHF,1.0,20,8448141.61,LOW_EXCEPTION,OK,RESOLVED,2026-09-04
WS:XSWX:COTNE.S,COTN.SW,COMET HOLDINGS 'R',XSWX,CHF,1.0,20,8439801.31,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XSWX:HBANC.S,HBAN.SW,HELVETIA BALOISE HLDG,XSWX,CHF,1.0,20,21459686.21,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSWX:ROPC.S,ROP.SW,ROCHE PS,XSWX,CHF,1.0,20,340020900.95,PREFERRED,OK,RESOLVED,2026-09-03
WS:XSWX:SIGNC.S,SIGN.SW,SIG GROUP AG,XSWX,CHF,1.0,20,12418160.64,LOW_EXCEPTION,OK,RESOLVED,2026-09-04
WS:XSWX:SRENH.S,SREN.SW,SWISS REINSURANCE COMPANY,XSWX,CHF,1.0,20,92806516.29,PREFERRED,OK,RESOLVED,2026-09-04
WS:XWAR:ACPP.WA,ACP.WA,ASSECO POLAND,XWAR,PLN,1.0,20,7180722.02,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XWAR:ALEP.WA,ALE.WA,ALLEGRO.EU,XWAR,PLN,1.0,20,36132836.23,PREFERRED,OK,RESOLVED,2026-09-03
WS:XWAR:LPPP.WA,LPP.WA,LPP,XWAR,PLN,1.0,20,12283262.36,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XWAR:MILP.WA,MIL.WA,BANK MILLENNIUM,XWAR,PLN,1.0,20,2266710.24,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XWBO:ATSV.VI,ATS.VI,AT&S AUSTRIA TECH.&SYSTEMTECH,XWBO,EUR,1.0,20,16667722.72,STANDARD,OK,IDENTITY,2026-09-03
WS:XWBO:BAWG.VI,BG.VI,BAWAG GROUP AG,XWBO,EUR,1.0,20,15950643.35,STANDARD,OK,IDENTITY,2026-09-03
WS:XWBO:ERST.VI,EBS.VI,ERSTE GROUP BANK,XWBO,EUR,1.0,20,28062525.74,PREFERRED,OK,IDENTITY,2026-09-03
WS:XWBO:OMVV.VI,OMV.VI,OMV,XWBO,EUR,1.0,20,15196475.88,STANDARD,OK,IDENTITY,2026-09-03
WS:XWBO:RBIV.VI,RBI.VI,RAIFFEISEN BANK INTERNATIONAL,XWBO,EUR,1.0,20,13310803.36,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XWBO:VERB.VI,VER.VI,VERBUND,XWBO,EUR,1.0,20,6532550.09,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XWBO:VOES.VI,VOE.VI,VOESTALPINE,XWBO,EUR,1.0,20,8503929.42,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XWBO:WBSV.VI,WIE.VI,WIENERBERGER,XWBO,EUR,1.0,20,7275151.6,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
