WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XHKG:175,GEELY AUTO,,Hong Kong,175,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:175,0175.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:2020,ANTA SPORTS,,Hong Kong,2020,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:2020,2020.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:1044,HENGAN INT'L,,Hong Kong,1044,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:1044,1044.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:868,XINYI GLASS,,Hong Kong,868,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:868,0868.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:9633,NONGFU SPRING,,Hong Kong,9633,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:9633,9633.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:960,LONGFOR GROUP,,Hong Kong,960,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:960,0960.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:1398,ICBC,,Hong Kong,1398,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:1398,1398.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:241,ALI HEALTH,,Hong Kong,241,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:241,0241.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:857,PETROCHINA,,Hong Kong,857,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:857,0857.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:16,SHK PPT,,Hong Kong,16,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:16,0016.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:700,TENCENT,,Hong Kong,700,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:700,0700.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:388,HKEX,,Hong Kong,388,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:388,0388.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:2382,SUNNY OPTICAL,,Hong Kong,2382,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:2382,2382.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:288,WH GROUP,,Hong Kong,288,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:288,0288.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:939,CCB,,Hong Kong,939,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:939,0939.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:3968,CM BANK,,Hong Kong,3968,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:3968,3968.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:2359,WUXI APPTEC,,Hong Kong,2359,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:2359,2359.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:1299,AIA,,Hong Kong,1299,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:1299,1299.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:285,BYD ELECTRONIC,,Hong Kong,285,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:285,0285.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:300,MIDEA GROUP,,Hong Kong,300,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:300,0300.HK,DERIVED_RULE,READY,,464,464,0,0,0.015086206896551725,2024-10-02,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:2313,SHENZHOU INTL,,Hong Kong,2313,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:2313,2313.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:1876,BUD APAC,,Hong Kong,1876,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:1876,1876.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:322,TINGYI,,Hong Kong,322,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:322,0322.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:6181,LAOPU GOLD,,Hong Kong,6181,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:6181,6181.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XHKG:27,GALAXY ENT,,Hong Kong,27,Hong Kong Exchanges and Clearing,XHKG,HKD,HK_HSI,HK_HSI,WS:XHKG:27,0027.HK,DERIVED_RULE,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XSHE:300628,YEALINK NETWORK TECHNOLOGY CORPORATION LIMITED,,China,300628,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:300628,300628.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:32+00:00,YF-20260823T194130471334-329df8a6,
WS:XSHG:600918,"ZHONGTAI SECURITIES CO., LTD.",,China,600918,Shanghai Stock Exchange,XSHG,CNY,CN_CSI300,CN_CSI300,WS:XSHG:600918,600918.SS,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:000657,China Tungsten and Hightech Materials Co Ltd,,China,000657,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:000657,000657.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:300408,"CHAOZHOU THREE-CIRCLE(GROUP)CO.,LTD",,China,300408,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:300408,300408.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
WS:XSHE:002625,"Kuang-Chi Technologies Co., Ltd.",,China,002625,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:002625,002625.SZ,DERIVED_RULE,READY,,485,485,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:34+00:00,YF-20260823T194132799622-9d65a0b8,
