Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Coverage_Feasibility,Earliest_Blocker,Earliest_Failed_Gate,Sector_Taxonomy_Value_Materialized,Sector_Code_Value_Materialized,Sector_Name_Value_Materialized
48,WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
49,WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
50,WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
51,WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
52,WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
53,WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
54,WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
55,WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
56,WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
57,WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
58,WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
59,WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
60,WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
61,WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
62,WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
63,WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
