Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Identity_Gate_Status,Deterministic_WS_ID_Proven,Reason
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,COALINDIA,IN_NIFTY50,NOT_VERIFIED,NO,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED
