WS_ID,Primary_MIC,Primary_Ticker,Source_Superset_Member,Instrument_Gate_State,Liquidity_Class,History_Gate_State,Standard_Eligibility_State,Scalable_Tradeability_Status,MedianTurnover20_EUR,History_Unique_Daily_Bars,History_Valid_Completed_Bars,Source_AsOf,Price_AsOf,Provider,Eligibility_State_Materialized_v0_34,Productive_Eligibility,SWING_U3K_FROZEN_Member
WS:BVMF:CXSE3,BVMF,CXSE3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,16913517.08,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:CYRE3,BVMF,CYRE3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,24710241.86,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:DIRR3,BVMF,DIRR3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,14690765.39,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ECOR3,BVMF,ECOR3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,4964380.66,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:EGIE3,BVMF,EGIE3,True,PASS,PASS_STANDARD,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,16947453.61,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:EMBJ3,BVMF,EMBJ3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,80666007.67,749,747,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ENEV3,BVMF,ENEV3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,42222946.2,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ENGI11,BVMF,ENGI11,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:EQTL3,BVMF,EQTL3,True,PASS,PASS_PREFERRED,PASS_HISTORY_STANDARD_U3K,STANDARD_ELIGIBILITY_READY,SCALABLE_NOT_VERIFIED,62200983.49,749,748,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:EZTC3,BVMF,EZTC3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,4479113.17,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:FLRY3,BVMF,FLRY3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,9884133.72,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:GGBR4,BVMF,GGBR4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:GGPS3,BVMF,GGPS3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,6727879.34,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:GMAT3,BVMF,GMAT3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,3915365.79,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:GOAU4,BVMF,GOAU4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:HAPV3,BVMF,HAPV3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,10669722.55,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:HYPE3,BVMF,HYPE3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,10591691.02,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:IGTI11,BVMF,IGTI11,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:INTB3,BVMF,INTB3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,2380261.5,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:IRBR3,BVMF,IRBR3,True,PASS,FAIL_LIQUIDITY,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_LIQUIDITY,SCALABLE_NOT_VERIFIED,4766196.48,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ISAE4,BVMF,ISAE4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:ITSA4,BVMF,ITSA4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:ITUB3,BVMF,ITUB3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,11279442.48,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
WS:BVMF:ITUB4,BVMF,ITUB4,True,FAIL,NOT_CHECKED_INSTRUMENT_FAIL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,STANDARD_U3K_NOT_ELIGIBLE_INSTRUMENT,SCALABLE_NOT_VERIFIED,,,,2026-08-31,,,True,False,False
WS:BVMF:JHSF3,BVMF,JHSF3,True,PASS,LOW_LIQUIDITY_EXCEPTION_POOL,NOT_APPLICABLE_NOT_STANDARD_LIQUIDITY,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,5991378.26,,,2026-08-31,2026-08-27,YFINANCE_FREE,True,False,False
