ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:US:VIR,VIR,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:VRRM,VRRM,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:VSNT,VSNT,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,172,172,0,0,0.0,2025-12-15,2026-08-21,2026-08-23T23:06:17+00:00,YF-20260823T230613076378-9776054c,
WS:XAMS:CSG.AS,CSG.AS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,148,148,0,0,0.0,2026-01-23,2026-08-21,2026-08-23T23:01:56+00:00,YF-20260823T230152070161-055d3901,
WS:XAMS:MICCT.AS,MICC.AS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,179,179,0,0,0.0,2025-12-08,2026-08-21,2026-08-23T23:01:56+00:00,YF-20260823T230152070161-055d3901,
WS:XASX:ASK,ASK.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,26,26,0,0,0.0,2026-07-17,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:L1G,L1G.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,224,224,0,0,0.004464285714285714,2025-10-03,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:MSB,MSB.AX,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,1,0.003937007874015748,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XASX:RYM,RYM.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,223,223,0,0,0.07174887892376682,2025-10-06,2026-08-21,2026-08-23T23:00:49+00:00,YF-20260823T230044469876-679ca8b4,
WS:XASX:TUA,TUA.AX,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,1,0.001968503937007874,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XETR:AMV0N.DE,AMV0.DE,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,234,234,0,0,0.06837606837606838,2025-09-18,2026-08-21,2026-08-23T23:02:07+00:00,YF-20260823T230201696642-04b7cf78,
WS:XKRX:0126Z0,0126Z0.KS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,181,181,0,0,0.0,2025-11-25,2026-08-21,2026-08-23T23:03:35+00:00,YF-20260823T230331262207-87656328,
WS:XLON:ROR.L,ROR.L,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,507,507,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XNZE:THL,THL.NZ,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,499,499,0,1,0.002004008016032064,2024-08-26,2026-08-24,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XOSL:KMAR.OL,KMAR.OL,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,84,84,0,0,0.0,2026-04-23,2026-08-21,2026-08-23T23:02:27+00:00,YF-20260823T230222119616-f5ab8104,
WS:XPAR:ABVX.PA,ABVX.PA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,511,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XSHE:001280,001280.SZ,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,175,175,0,0,0.0,2025-12-03,2026-08-21,2026-08-23T23:01:28+00:00,YF-20260823T230123399520-7099386b,
WS:XSTO:OCTVSDB.ST,OCTV,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,64,64,0,0,0.0,2026-05-21,2026-08-21,2026-08-23T23:02:47+00:00,YF-20260823T230242307058-0d9d7896,
WS:XSTO:VSURE.ST,VSURE.ST,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,1,1,0,0,0.0,2026-08-21,2026-08-21,2026-08-23T23:02:47+00:00,YF-20260823T230242307058-0d9d7896,
WS:XTSE:IAU,IAU.TO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XTSE:LAC,LAC.TO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
