Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Evidence_Cohort,Market_AsOf_Date,Last_Completed_Session,Fetch_Timestamp,Market_Status,Price_Cache_Status,History_Row_Count,Valid_Completed_Bars,QA_Status,Blocking_Reason,Data_Source,Source_Run_Provenance
WSSEC:WS:XNAS:KHC,WS:XNAS:KHC,XNAS,KHC,KHC,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:KLAC,WS:XNAS:KLAC,XNAS,KLAC,KLAC,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:KRYS,WS:XNAS:KRYS,XNAS,KRYS,KRYS,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:KTOS,WS:XNAS:KTOS,XNAS,KTOS,KTOS,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LECO,WS:XNAS:LECO,XNAS,LECO,LECO,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LFUS,WS:XNAS:LFUS,XNAS,LFUS,LFUS,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LITE,WS:XNAS:LITE,XNAS,LITE,LITE,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:LIVN,WS:XNAS:LIVN,XNAS,LIVN,LIVN,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LNT,WS:XNAS:LNT,XNAS,LNT,LNT,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:LNTH,WS:XNAS:LNTH,XNAS,LNTH,LNTH,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LOPE,WS:XNAS:LOPE,XNAS,LOPE,LOPE,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LSCC,WS:XNAS:LSCC,XNAS,LSCC,LSCC,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LSTR,WS:XNAS:LSTR,XNAS,LSTR,LSTR,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:LULU,WS:XNAS:LULU,XNAS,LULU,LULU,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MANH,WS:XNAS:MANH,XNAS,MANH,MANH,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:MAR,WS:XNAS:MAR,XNAS,MAR,MAR,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MAT,WS:XNAS:MAT,XNAS,MAT,MAT,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:MCHP,WS:XNAS:MCHP,XNAS,MCHP,MCHP,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MDLZ,WS:XNAS:MDLZ,XNAS,MDLZ,MDLZ,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MEDP,WS:XNAS:MEDP,XNAS,MEDP,MEDP,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:META,WS:XNAS:META,XNAS,META,META,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MIDD,WS:XNAS:MIDD,XNAS,MIDD,MIDD,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:MKSI,WS:XNAS:MKSI,XNAS,MKSI,MKSI,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:MORN,WS:XNAS:MORN,XNAS,MORN,MORN,US2,2026-09-22,2026-09-21,2026-09-23T18:56:29Z,CURRENT,READY,500,500,PASS,,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433
WSSEC:WS:XNAS:MPWR,WS:XNAS:MPWR,XNAS,MPWR,MPWR,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MRNA,WS:XNAS:MRNA,XNAS,MRNA,MRNA,US1,2026-09-24,2026-09-24,2026-09-25T13:01:20+00:00,NON_READY,READY,508,508,PASS_EVENT_RECONCILIATION,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:XNAS:MRVL,WS:XNAS:MRVL,XNAS,MRVL,MRVL,US1,2026-09-24,2026-09-24,2026-09-25T12:59:59+00:00,CURRENT,READY,508,508,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
