WS_ID,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Instrument_Gate_State,Mapping_Baseline_State,History_Evidence_State,Liquidity_Evidence_State,Scalable_Tradeability_Status,Refresh_Required,Refresh_Priority,Refresh_Action,Refresh_Prerequisite,Planned_Provider,Provider_Symbol_Current,Network_Required_In_Execution_Stage,Expected_Output,Reason
WS:ISIN:INE213A01029,IN_NIFTY50,XNSE,ONGC,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ONGC,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE237A01036,IN_NIFTY50,XNSE,KOTAKBANK,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,KOTAKBANK,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE238A01034,IN_NIFTY50,XNSE,AXISBANK,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,AXISBANK,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE239A01024,IN_NIFTY50,XNSE,NESTLEIND,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,NESTLEIND,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE263A01024,IN_NIFTY50,XNSE,BEL,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,BEL,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE280A01028,IN_NIFTY50,XNSE,TITAN,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,TITAN,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE296A01032,IN_NIFTY50,XNSE,BAJFINANCE,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,BAJFINANCE,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE397D01024,IN_NIFTY50,XNSE,BHARTIARTL,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,BHARTIARTL,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE423A01024,IN_NIFTY50,XNSE,ADANIENT,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ADANIENT,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE437A01024,IN_NIFTY50,XNSE,APOLLOHOSP,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,APOLLOHOSP,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
