WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XETR:EVDG.DE,,,XETR,,EVDG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,EVDG.DE,EVDG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:EVKN.DE,,,XETR,,EVKn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,EVKn.DE,EVKN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:FMEG.DE,,,XETR,,FMEG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,FMEG.DE,FMEG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:FNTGN.DE,,,XETR,,FNTGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,FNTGn.DE,FNTGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:FPE3_P.DE,,,XETR,,FPE3_p.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,FPE3_p.DE,FPE3_P.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:FRAG.DE,,,XETR,,FRAG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,FRAG.DE,FRAG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:FREG.DE,,,XETR,,FREG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,FREG.DE,FREG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:FTKN.DE,,,XETR,,FTKn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,FTKn.DE,FTKN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:G1AG.DE,,,XETR,,G1AG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,G1AG.DE,G1AG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:G24N.DE,,,XETR,,G24n.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,G24n.DE,G24N.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:GBFG.DE,,,XETR,,GBFG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,GBFG.DE,GBFG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:HAGG.DE,,,XETR,,HAGG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,HAGG.DE,HAGG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:HEIG.DE,,,XETR,,HEIG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,HEIG.DE,HEIG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:HNKG_P.DE,,,XETR,,HNKG_p.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,HNKG_p.DE,HNKG_P.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:HNRGN.DE,,,XETR,,HNRGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,HNRGn.DE,HNRGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:HOTG.DE,,,XETR,,HOTG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,HOTG.DE,HOTG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:IFXGN.DE,,,XETR,,IFXGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,IFXGn.DE,IFXGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:LEGN.DE,,,XETR,,LEGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,LEGn.DE,LEGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:LHAG.DE,,,XETR,,LHAG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,LHAG.DE,LHAG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:MBGN.DE,,,XETR,,MBGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MBGn.DE,MBGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:MTXGN.DE,,,XETR,,MTXGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MTXGn.DE,MTXGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:MUVGN.DE,,,XETR,,MUVGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MUVGn.DE,MUVGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
