ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
US6247561029,XNYS,MLI,WS:XNYS:MLI,NEW
US1423391002,XNYS,CSL,WS:XNYS:CSL,NEW
US1271903049,XNYS,CACI,WS:XNYS:CACI,NEW
US87422Q1094,XNAS,TLN,WS:XNAS:TLN,NEW
US0997241064,XNYS,BWA,WS:XNYS:BWA,NEW
US0138721065,XNYS,AA,WS:XNYS:AA,NEW
US8894781033,XNYS,TOL,WS:XNYS:TOL,NEW
US58506Q1094,XNAS,MEDP,WS:XNAS:MEDP,NEW
US33829M1018,XNAS,FIVE,WS:XNAS:FIVE,NEW
US7496851038,XNYS,RPM,WS:XNYS:RPM,NEW
US5627501092,XNAS,MANH,WS:XNAS:MANH,NEW
US40637H1095,XNAS,HALO,WS:XNAS:HALO,NEW
US23345M1071,XNYS,DTM,WS:XNYS:DTM,NEW
US3841091040,XNYS,GGG,WS:XNYS:GGG,NEW
US09061G1013,XNAS,BMRN,WS:XNAS:BMRN,NEW
US2561631068,XNAS,DOCU,WS:XNAS:DOCU,NEW
US2283681060,XNYS,CCK,WS:XNYS:CCK,NEW
US82982T1060,XNAS,SITM,WS:XNAS:SITM,NEW
US70975L1070,XNYS,PEN,WS:XNYS:PEN,NEW
US8606301021,XNYS,SF,WS:XNYS:SF,NEW
US8168501018,XNAS,SMTC,WS:XNAS:SMTC,NEW
US6833441057,XNYS,ONTO,WS:XNYS:ONTO,NEW
US8826811098,XNAS,TXRH,WS:XNAS:TXRH,NEW
KYG8068L1086,XNYS,SN,WS:XNYS:SN,NEW
US65290E1010,XNAS,NXT,WS:XNAS:NXT,NEW
US14316J1088,XNAS,CG,WS:XNAS:CG,NEW
US28414H1032,XNYS,ELAN,WS:XNYS:ELAN,NEW
NL0010545661,XNYS,CNH,WS:XNYS:CNH,NEW
US04280A1007,XNAS,ARWR,WS:XNAS:ARWR,NEW
US29261A1007,XNYS,EHC,WS:XNYS:EHC,NEW
US02005N1000,XNYS,ALLY,WS:XNYS:ALLY,NEW
US87305R1095,XNAS,TTMI,WS:XNAS:TTMI,NEW
US03820C1053,XNYS,AIT,WS:XNYS:AIT,NEW
US05550J1016,XNYS,BJ,WS:XNYS:BJ,NEW
US29670G1022,XNYS,WTRG,WS:XNYS:WTRG,NEW
US3205171057,XNYS,FHN,WS:XNYS:FHN,NEW
US03674X1063,XNYS,AR,WS:XNYS:AR,NEW
US31620R3030,XNYS,FNF,WS:XNYS:FNF,NEW
US8175651046,XNYS,SCI,WS:XNYS:SCI,NEW
US29977A1051,XNYS,EVR,WS:XNYS:EVR,NEW
US4990491049,XNYS,KNX,WS:XNYS:KNX,NEW
US1910981026,XNAS,COKE,WS:XNAS:COKE,NEW
US9426222009,XNYS,WSO,WS:XNYS:WSO,NEW
US6907421019,XNYS,OC,WS:XNYS:OC,NEW
US7587501039,XNYS,RRX,WS:XNYS:RRX,NEW
US6501111073,XNYS,NYT,WS:XNYS:NYT,NEW
US0427351004,XNYS,ARW,WS:XNYS:ARW,NEW
US01973R1014,XNYS,ALSN,WS:XNYS:ALSN,NEW
US60855R1005,XNYS,MOH,WS:XNYS:MOH,NEW
US6153942023,XNYS,MOGA,WS:XNYS:MOGA,NEW
US2576511099,XNYS,DCI,WS:XNYS:DCI,NEW
US8010561020,XNAS,SANM,WS:XNAS:SANM,NEW
US5370081045,XNAS,LFUS,WS:XNAS:LFUS,NEW
US84472E1029,XNYS,SSB,WS:XNYS:SSB,NEW
US2372661015,XNYS,DAR,WS:XNYS:DAR,NEW
US0079731008,XNAS,AEIS,WS:XNAS:AEIS,NEW
US05352A1007,XNYS,AVTR,WS:XNYS:AVTR,NEW
US97650W1080,XNAS,WTFC,WS:XNAS:WTFC,NEW
US9027881088,XNAS,UMBF,WS:XNAS:UMBF,NEW
US2298991090,XNYS,CFR,WS:XNYS:CFR,NEW
US7841171033,XNAS,SEIC,WS:XNAS:SEIC,NEW
US1924221039,XNAS,CGNX,WS:XNAS:CGNX,NEW
US72352L1061,XNYS,PINS,WS:XNYS:PINS,NEW
US23282W6057,XNAS,CYTK,WS:XNAS:CYTK,NEW
US9897011071,XNAS,ZION,WS:XNAS:ZION,NEW
US75281A1097,XNYS,RRC,WS:XNYS:RRC,NEW
US29358P1012,XNAS,ENSG,WS:XNAS:ENSG,NEW
US2244081046,XNYS,CR,WS:XNYS:CR,NEW
US0259321042,XNYS,AFG,WS:XNYS:AFG,NEW
US00508Y1029,XNYS,AYI,WS:XNYS:AYI,NEW
US34354P1057,XNYS,FLS,WS:XNYS:FLS,NEW
US9427491025,XNYS,WTS,WS:XNYS:WTS,NEW
US6882392011,XNYS,OSK,WS:XNYS:OSK,NEW
US5011471027,XNAS,KRYS,WS:XNAS:KRYS,NEW
