WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion,Remediation_Action,Automatic_Override_Created
WS:XAMS:VOPA.AS,EU_STOXX600,XAMS,VOPA.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,VOPA.AS,VOPA.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XBRU:AGES.BR,EU_STOXX600,XBRU,AGES.BR,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AGES.BR,AGES.BR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XBRU:AOO.BR,EU_STOXX600,XBRU,AOO.BR,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AOO.BR,AOO.BR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XBRU:IETB.BR,EU_STOXX600,XBRU,IETB.BR,EUR,MAPPING_PRESENT_NOT_REVALIDATED,IETB.BR,IETB.BR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XBRU:WDPP.BR,EU_STOXX600,XBRU,WDPP.BR,EUR,MAPPING_PRESENT_NOT_REVALIDATED,WDPP.BR,WDPP.BR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:ALKB.CO,EU_STOXX600,XCSE,ALKb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,ALKb.CO,ALKB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:CARLB.CO,EU_STOXX600,XCSE,CARLb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,CARLb.CO,CARLB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:COLOB.CO,EU_STOXX600,XCSE,COLOb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,COLOb.CO,COLOB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:MAERSKB.CO,EU_STOXX600,XCSE,MAERSKb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,MAERSKb.CO,MAERSKB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:NOVOB.CO,EU_STOXX600,XCSE,NOVOb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,NOVOb.CO,NOVOB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:NSISB.CO,EU_STOXX600,XCSE,NSISb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,NSISb.CO,NSISB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:ROCKB.CO,EU_STOXX600,XCSE,ROCKb.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,ROCKb.CO,ROCKB.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XCSE:ZELA.CO,EU_STOXX600,XCSE,ZELA.CO,DKK,MAPPING_PRESENT_NOT_REVALIDATED,ZELA.CO,ZELA.CO,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XDUB:AIBG.I,EU_STOXX600,XDUB,AIBG.I,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AIBG.I,AIBG.IR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XDUB:KSP.I,EU_STOXX600,XDUB,KSP.I,EUR,MAPPING_PRESENT_NOT_REVALIDATED,KSP.I,KSP.IR,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
