WS_ID,Yahoo_Symbol,Cache_Status,Cache_Reason,Unique_Daily_Bars,Valid_Completed_Bars,First_Valid_Bar,Last_Completed_Bar,Repaired_Rows,Suspicious_Returns,Zero_Volume_Share,History_Current_State,Global_EOD_Safe_Cutoff,Fetch_Timestamp_UTC
WS:ISIN:TW0006505001,6505.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:TW0008046004,8046.TW,READY,,484,484,2024-09-02,2026-08-31,0,0,0.002066115702479339,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:XAMS:AALB.AS,AALB.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:XAMS:ABND.AS,ABND.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:AD.AS,AD.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:XAMS:ADYEN.AS,ADYEN.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:AEGN.AS,AEGN.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:AKZO.AS,AKZO.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:ALLFG.AS,ALLFG.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:ARDS.AS,ARDS.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:ASMI.AS,ASMI.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:ASML.AS,ASML.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:ASRNL.AS,ASRNL.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:BAMN.AS,BAMN.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:BESI.AS,BESI.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:CSG.AS,CSG.AS,QUARANTINE,INVALID_OHLC_OR_VOLUME,154,153,2026-01-23,2026-08-28,0,0,0.0,HISTORY_DATA_QUALITY_FAIL,2026-08-31,2026-09-01T04:50:04+00:00
WS:XAMS:CVC.AS,CVC.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:DSFIR.AS,DSFIR.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:EXOR.AS,EXOR.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:HEIN.AS,HEIA.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:HEIO.AS,HEIO.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:IMCD.AS,IMCD.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:INGA.AS,INGA.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:INPST.AS,INPST.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:KPN.AS,KPN.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:LIGHT.AS,LIGHT.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:MICCT.AS,MICCT.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:MT.AS,MT.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:NN.AS,NN.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:PHG.AS,PHG.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:PRX.AS,PRX.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:RAND.AS,RAND.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:SBMO.AS,SBMO.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:SHEL.AS,SHEL.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:UMG.AS,UMG.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
WS:XAMS:VOPA.AS,VOPA.AS,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,0,0,,HISTORY_MAPPING_BLOCKED,2026-08-31,2026-09-01T04:49:51+00:00
WS:XAMS:WLSNC.AS,WKL.AS,READY,ISOLATED_INVALID_BAR_EXCLUDED,509,508,2024-09-02,2026-08-28,0,0,0.0,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:30+00:00
