WS_ID,Primary_MIC,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Liquidity_Last_Session,Usable_Sessions20,FX_Coverage20,MedianTurnover20_EUR,Liquidity_Current_State,Liquidity_Current_Gate,Prior_Liquidity_State,FX_Status,Evidence_AsOf
WS:ISIN:TW0004904008,XTAI,TWD,TWD,1.0,2026-08-31,20,20,15220566.50819913,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0005880009,XTAI,TWD,TWD,1.0,2026-08-31,20,20,12088950.955809668,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0006505001,XTAI,TWD,TWD,1.0,2026-08-31,20,20,36606752.37591858,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:TW0008046004,XTAI,TWD,TWD,1.0,2026-08-31,20,20,321757055.21216464,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:XAMS:AALB.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:ABND.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:AD.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:ADYEN.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:AEGN.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:AKZO.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:ALLFG.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:ARDS.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:ASMI.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:ASML.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:ASRNL.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:BAMN.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:BESI.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:CSG.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:CVC.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:DSFIR.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XAMS:EXOR.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
