WS_ID,Session_Date,Raw_Close,Raw_Volume,Quote_Scale_To_Major_Currency,Currency_Normalized,Turnover_Native_Major,FX_to_EUR,FX_Source_Symbol,FX_Date_Used,FX_Lag_Days,Turnover_EUR,Usable_For_Median20
WS:XSHE:002463,2026-08-19,113.41000366210938,52233447.0,1.0,CNY,5923795415.554596,0.1280840039253235,,2026-08-19,0,758743435.2587081,True
WS:XSHE:002463,2026-08-20,114.31999969482422,31302314.0,1.0,CNY,3578480526.927292,0.12728799879550934,,2026-08-20,0,455497625.00127476,True
WS:XSHE:002463,2026-08-21,121.20999908447266,49927178.0,1.0,CNY,6051673199.670303,0.12724700570106506,,2026-08-21,0,770057294.1394297,True
WS:XSHE:002463,2026-08-24,115.56999969482422,41949993.0,1.0,CNY,4848160678.207878,0.12736399471759796,,2026-08-24,0,617481111.0093343,True
WS:XSHE:002463,2026-08-25,114.29000091552734,41105433.0,1.0,CNY,4697939975.203148,0.127469003200531,,2026-08-25,0,598841725.7350726,True
WS:XSHE:002463,2026-08-26,119.22000122070312,59517170.0,1.0,CNY,7095637080.052795,0.12745800614356995,,2026-08-26,0,904395754.541912,True
WS:XSHE:002463,2026-08-27,122.0199966430664,63023888.0,1.0,CNY,7690174602.192993,0.12762199342250824,,2026-08-27,0,981435412.4990141,True
WS:XSHE:002463,2026-08-28,121.69999694824219,59029008.0,1.0,CNY,7183830093.457764,0.12763899564743042,,2026-08-28,0,916936858.0307351,True
WS:XSHE:002463,2026-08-31,124.91000366210938,49635805.0,1.0,CNY,6200008584.321747,0.12825900316238403,,2026-08-31,0,795206920.6233311,True
WS:XSHE:002466,2026-08-04,46.79999923706055,38345265.0,1.0,CNY,1794558372.7448845,0.12868499755859375,,2026-08-04,0,230932739.81542942,True
WS:XSHE:002466,2026-08-05,47.77000045776367,49479548.0,1.0,CNY,2363638030.6099396,0.1283939927816391,,2026-08-05,0,303476924.24054027,True
WS:XSHE:002466,2026-08-06,47.18000030517578,46044568.0,1.0,CNY,2172382732.291687,0.1281840056180954,,2026-08-06,0,278464720.36073107,True
WS:XSHE:002466,2026-08-07,47.869998931884766,52581198.0,1.0,CNY,2517061892.0972214,0.12857599556446075,,2026-08-07,0,323633738.67376554,True
WS:XSHE:002466,2026-08-10,48.90999984741211,64257867.0,1.0,CNY,3142852265.1650276,0.12824200093746185,,2026-08-10,0,403045663.1355976,True
WS:XSHE:002466,2026-08-11,48.09000015258789,40447755.0,1.0,CNY,1945132544.1218376,0.12835000455379486,,2026-08-11,0,249657770.89577243,True
WS:XSHE:002466,2026-08-12,48.529998779296875,47886118.0,1.0,CNY,2323913248.085266,0.1284099966287613,,2026-08-12,0,298413692.3521627,True
WS:XSHE:002466,2026-08-13,47.7599983215332,47697870.0,1.0,CNY,2278050191.140709,0.12862099707126617,,2026-08-13,0,293005086.9629065,True
WS:XSHE:002466,2026-08-14,48.72999954223633,49323225.0,1.0,CNY,2403520731.6716194,0.12856599688529968,,2026-08-14,0,309011038.90184665,True
WS:XSHE:002466,2026-08-17,48.81999969482422,38521813.0,1.0,CNY,1880634898.9040756,0.1281290054321289,,2026-08-17,0,240963879.1775315,True
WS:XSHE:002466,2026-08-18,47.93000030517578,38193840.0,1.0,CNY,1830630762.855835,0.12807400524616241,,2026-08-18,0,234456213.9257845,True
WS:XSHE:002466,2026-08-19,46.130001068115234,35765704.0,1.0,CNY,1649871963.7218933,0.1280840039253235,,2026-08-19,0,211322207.07763615,True
WS:XSHE:002466,2026-08-20,46.029998779296875,25900397.0,1.0,CNY,1192195242.2933044,0.12728799879550934,,2026-08-20,0,151752146.5650421,True
WS:XSHE:002466,2026-08-21,48.380001068115234,66099307.0,1.0,CNY,3197884543.261677,0.12724700570106506,,2026-08-21,0,406921232.7077664,True
WS:XSHE:002466,2026-08-24,49.099998474121094,75934986.0,1.0,CNY,3728407696.7324066,0.12736399471759796,,2026-08-24,0,474864898.1916778,True
WS:XSHE:002466,2026-08-25,47.0099983215332,54976210.0,1.0,CNY,2584431539.824257,0.127469003200531,,2026-08-25,0,329434912.22141147,True
WS:XSHE:002466,2026-08-26,47.560001373291016,41864530.0,1.0,CNY,1991077104.292183,0.12745800614356995,,2026-08-26,0,253778717.7911945,True
WS:XSHE:002466,2026-08-27,48.22999954223633,33930699.0,1.0,CNY,1636477597.2377586,0.12762199342250824,,2026-08-27,0,208850533.1507593,True
WS:XSHE:002466,2026-08-28,50.099998474121094,90029551.0,1.0,CNY,4510480367.725807,0.12763899564743042,,2026-08-28,0,575713184.0239747,True
WS:XSHE:002466,2026-08-31,49.900001525878906,58168283.0,1.0,CNY,2902597410.457756,0.12825900316238403,,2026-08-31,0,372284250.44702905,True
WS:XSHE:002475,2026-08-04,55.47999954223633,129150169.0,1.0,CNY,7165251316.999744,0.12868499755859375,,2026-08-04,0,922060348.2348228,True
WS:XSHE:002475,2026-08-05,55.869998931884766,224242015.0,1.0,CNY,12528401138.533688,0.1283939927816391,,2026-08-05,0,1608571445.3463733,True
WS:XSHE:002475,2026-08-06,55.900001525878906,172057460.0,1.0,CNY,9618012276.538849,0.1281840056180954,,2026-08-06,0,1232875339.6907663,True
