WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:INE397D01024,IN_NIFTY50,XNSE,BHARTIARTL,INR,MAPPING_PRESENT_NOT_REVALIDATED,BHARTIARTL,BHARTIARTL.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE423A01024,IN_NIFTY50,XNSE,ADANIENT,INR,MAPPING_PRESENT_NOT_REVALIDATED,ADANIENT,ADANIENT.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE437A01024,IN_NIFTY50,XNSE,APOLLOHOSP,INR,MAPPING_PRESENT_NOT_REVALIDATED,APOLLOHOSP,APOLLOHOSP.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE467B01029,IN_NIFTY50,XNSE,TCS,INR,MAPPING_PRESENT_NOT_REVALIDATED,TCS,TCS.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE481G01011,IN_NIFTY50,XNSE,ULTRACEMCO,INR,MAPPING_PRESENT_NOT_REVALIDATED,ULTRACEMCO,ULTRACEMCO.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE522F01014,IN_NIFTY50,XNSE,COALINDIA,INR,MAPPING_PRESENT_NOT_REVALIDATED,COALINDIA,COALINDIA.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE585B01010,IN_NIFTY50,XNSE,MARUTI,INR,MAPPING_PRESENT_NOT_REVALIDATED,MARUTI,MARUTI.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE646L01027,IN_NIFTY50,XNSE,INDIGO,INR,MAPPING_PRESENT_NOT_REVALIDATED,INDIGO,INDIGO.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE669C01036,IN_NIFTY50,XNSE,TECHM,INR,MAPPING_PRESENT_NOT_REVALIDATED,TECHM,TECHM.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE721A01047,IN_NIFTY50,XNSE,SHRIRAMFIN,INR,MAPPING_PRESENT_NOT_REVALIDATED,SHRIRAMFIN,SHRIRAMFIN.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
