Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Evidence_Cohort,Source_ID,Instrument_Type,History_State,History_Observation_Count,History_Valid_Observation_Count,Liquidity_State,Liquidity_Bucket,Usable20,MedianTurnover20_EUR,Eligibility_DryRun,Stage_U_Status
323,WSSEC:WS:XNAS:MORN,WS:XNAS:MORN,XNAS,MORN,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,48419957.259920,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
324,WSSEC:WS:XNAS:MPWR,WS:XNAS:MPWR,XNAS,MPWR,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,597315002.18,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
325,WSSEC:WS:XNAS:MRNA,WS:XNAS:MRNA,XNAS,MRNA,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,2201529944.77,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
326,WSSEC:WS:XNAS:MRVL,WS:XNAS:MRVL,XNAS,MRVL,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,4171661687.22,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
327,WSSEC:WS:XNAS:MSFT,WS:XNAS:MSFT,XNAS,MSFT,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,9617864327.39,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
328,WSSEC:WS:XNAS:MTSI,WS:XNAS:MTSI,XNAS,MTSI,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,274009129.080126,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
329,WSSEC:WS:XNAS:MU,WS:XNAS:MU,XNAS,MU,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,21957426608.75,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
330,WSSEC:WS:XNAS:MZTI,WS:XNAS:MZTI,XNAS,MZTI,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,38987543.547829,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
331,WSSEC:WS:XNAS:NBIX,WS:XNAS:NBIX,XNAS,NBIX,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,134253500.169162,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
332,WSSEC:WS:XNAS:NDAQ,WS:XNAS:NDAQ,XNAS,NDAQ,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,200972689.28,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
