WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons
WS:US:AAP,"Advance Auto Parts, Inc.",,US_SP1500,,AAP,AAP,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:ADIG,ADI Global Distribution,,US_SP1500,,ADIG,ADIG,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,17,17,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:CORT,Corcept Therapeutics Incorporated,,US_SP1500,,CORT,CORT,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:ECHO,EchoStar,,US_SP1500,,ECHO,ECHO,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:EFOR,Everforth Inc.,,US_SP1500,,EFOR,EFOR,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:FDXF,FedEx Freight,,US_SP1500,,FDXF,FDXF,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,61,61,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:HONA,Honeywell Aerospace,,US_SP1500,,HONA,HONA,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,48,48,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:IESC,IES Holdings,,US_SP1500,,IESC,IESC,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,STALE,LAST_BAR_TOO_OLD,477,476,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_STALE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:KD,Kyndryl,,US_SP1500,,KD,KD,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:US:LRN,"Stride, Inc.",,US_SP1500,,LRN,LRN,USD,USD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
