WS_ID,Name,Country,Primary_Universe_Index,Primary_Ticker,Primary_MIC,ISIN,Universe_Status,Yahoo_Symbol_Before,Yahoo_Symbol_After,Yahoo_Mapping_Status,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Prior_Run_Status,Prior_Reason_Code,Search_Attempted,Search_Query,Search_Result_Name,Search_Result_Exchange,Search_Score,Search_Margin,Search_Reason,Identity_Issues,Needs_Review
WS:XETR:CONG.DE,CONTINENTAL,DE,EU_STOXX600,CONG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.645122,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,CONTINENTAL,Continental Aktiengesellschaft,GER,0.645122,0.112979,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:DB1GN.DE,DEUTSCHE BOERSE,DE,EU_STOXX600,DB1Gn.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,DEUTSCHE BOERSE,Deutsche Boerse AG,DUS,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:DBKGN.DE,DEUTSCHE BANK,DE,EU_STOXX600,DBKGn.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.716667,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,DEUTSCHE BANK,Deutsche Bank Aktiengesellschaft,GER,0.716667,0.066667,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:EONGN.DE,E.ON,DE,EU_STOXX600,EONGn.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,E.ON,E.ON SE,PNK,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:EVDG.DE,CTS EVENTIM,DE,EU_STOXX600,EVDG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.740323,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,CTS EVENTIM,CTS Eventim AG & Co. KGaA,GER,0.740323,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:FMEG.DE,FRESENIUS MEDICAL CARE,DE,EU_STOXX600,FMEG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,FRESENIUS MEDICAL CARE,Fresenius Medical Care AG,FRA,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:FPE3_P.DE,FUCHS PREF,DE,EU_STOXX600,FPE3_p.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,FUCHS PREF,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XETR:FREG.DE,FRESENIUS,DE,EU_STOXX600,FREG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.716667,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,FRESENIUS,Fresenius SE & Co. KGaA,GER,0.716667,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:FTKN.DE,FLATEXDEGIRO N,DE,EU_STOXX600,FTKn.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,FLATEXDEGIRO N,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XETR:G1AG.DE,GEA GRP,DE,EU_STOXX600,G1AG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,GEA GRP,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XETR:HNKG_P.DE,HENKEL PREF,DE,EU_STOXX600,HNKG_p.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,HENKEL PREF,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XETR:HOTG.DE,HOCHTIEF,DE,EU_STOXX600,HOTG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,HOCHTIEF,HOCHTIEF AG,EBS,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:LHAG.DE,LUFTHANSA,DE,EU_STOXX600,LHAG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.716667,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,LUFTHANSA,Deutsche Lufthansa AG,GER,0.716667,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:MUVGN.DE,MUENCHENER RUECK,DE,EU_STOXX600,MUVGn.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.52907,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,MUENCHENER RUECK,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,GER,0.52907,0.054602,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:PSHG_P.DE,PORSCHE AUTOMOBIL HLDG PREF,DE,EU_STOXX600,PSHG_p.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,PORSCHE AUTOMOBIL HLDG PREF,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XETR:RAAG.DE,RATIONAL,DE,EU_STOXX600,RAAG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,RATIONAL,Rational AG,HAN,0.65,0.275,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:RWEG.DE,RWE,DE,EU_STOXX600,RWEG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.625,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,RWE,RWE Aktiengesellschaft,GER,0.625,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:SATG_P.DE,SARTORIUS PREF.,DE,EU_STOXX600,SATG_p.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.414286,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,SARTORIUS PREF.,Sartorius Aktiengesellschaft,IOB,0.414286,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
