WS_ID,Primary_Universe_Index,Name,Yahoo_Symbol,Country,Lineage_Class_v0_22,In_Active_Source_v0_22,In_Full_Eligibility_v0_14,In_Strict_v0_14,In_Unresolved_Queue_v0_15,In_Research_Partial_v0_16
WS:XASX:JHX,AU_ASX200,James Hardie,JHX.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:L1G,AU_ASX200,L1 Group,L1G.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:LLC,AU_ASX200,Lendlease,LLC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:LNW,AU_ASX200,Light & Wonder,LNW.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:LOV,AU_ASX200,Lovisa,LOV.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:LSF,AU_ASX200,L1 Long Short Fund,LSF.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:LTR,AU_ASX200,Liontown Resources,LTR.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:LYC,AU_ASX200,Lynas Rare Earths,LYC.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:MCY,AU_ASX200,Mercury NZ,MCY.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MEZ,AU_ASX200,Meridian Energy,MEZ.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MFF,AU_ASX200,MFF Capital Investments,MFF.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MFG,AU_ASX200,Magellan Financial Group,MFG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MGR,AU_ASX200,Mirvac,MGR.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MIN,AU_ASX200,Mineral Resources,MIN.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:MND,AU_ASX200,Monadelphous Group,MND.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MPL,AU_ASX200,Medibank,MPL.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:MQG,AU_ASX200,Macquarie Group,MQG.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:MSB,AU_ASX200,Mesoblast,MSB.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MTS,AU_ASX200,Metcash,MTS.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:MXT,AU_ASX200,Metrics Master Income Trust,MXT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NAB,AU_ASX200,National Australia Bank,NAB.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:NEM,AU_ASX200,Newmont,NEM.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NHC,AU_ASX200,New Hope,NHC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NHF,AU_ASX200,Nib,NHF.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NIC,AU_ASX200,Nickel Industries,NIC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NSR,AU_ASX200,National Storage,NSR.AX,Australia,ABSENT_FROM_V0_14_FULL_ELIGIBILITY_REASON_NOT_CLASSIFIED_V0_22,True,False,False,False,False
WS:XASX:NST,AU_ASX200,Northern Star Resources,NST.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:NWH,AU_ASX200,NRW Holdings,NWH.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NWL,AU_ASX200,Netwealth Group,NWL.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NWS,AU_ASX200,News Corp Class B,NWS.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:NXG,AU_ASX200,Nexgen Energy,NXG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
