ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XBRU:AGES.BR,AGES.BR,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XBRU:AOO.BR,AOO.BR,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XBRU:IETB.BR,IETB.BR,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XBRU:WDPP.BR,WDPP.BR,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XCSE:ZELA.CO,ZELA.CO,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:AG1G.DE,AG1G.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:ALVG.DE,ALVG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:BC8G.DE,BC8G.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:BEIG.DE,BEIG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XETR:BMWG.DE,BMWG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
