WS_ID,Gap_Family,Diagnostic_Classification,Provider_Symbol,Request_Mode,Repair_Pass,Primary_MIC,Primary_Ticker,Primary_Currency,Name,Country,Primary_Universe_Index,Yahoo_Mapping_Status,Pre_Status,Pre_Reason,Pre_Price_Rows,Post_Status,Post_Reason,Post_Price_Rows,Post_Unique_Bars,Post_Valid_Bars,Post_Repaired_Rows,Post_Suspicious_Returns,Post_First_Day,Post_Last_Day,Provider_Data_Returned,Controlled_Result,Eligibility_Promoted,Universe_Mutated,Mapping_Override_Created
WS:XETR:NDXG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,NDXG.DE,NORMAL_FIXED_WINDOW,False,XETR,NDXG.DE,EUR,NORDEX,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:NEKG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,NEKG.DE,NORMAL_FIXED_WINDOW,False,XETR,NEKG.DE,EUR,NEMETSCHEK,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:PUMG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,PUMG.DE,NORMAL_FIXED_WINDOW,False,XETR,PUMG.DE,EUR,PUMA,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:RAAG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,RAAG.DE,NORMAL_FIXED_WINDOW,False,XETR,RAAG.DE,EUR,RATIONAL,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:RHMG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,RHMG.DE,NORMAL_FIXED_WINDOW,False,XETR,RHMG.DE,EUR,RHEINMETALL,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:RWEG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,RWEG.DE,NORMAL_FIXED_WINDOW,False,XETR,RWEG.DE,EUR,RWE,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:SAPG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,SAPG.DE,NORMAL_FIXED_WINDOW,False,XETR,SAPG.DE,EUR,SAP,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:SHLG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,SHLG.DE,NORMAL_FIXED_WINDOW,False,XETR,SHLG.DE,EUR,SIEMENS HEALTHINEERS,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:SY1G.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,SY1G.DE,NORMAL_FIXED_WINDOW,False,XETR,SY1G.DE,EUR,SYMRISE,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:TEGG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,TEGG.DE,NORMAL_FIXED_WINDOW,False,XETR,TEGG.DE,EUR,TAG IMMOBILIEN AG,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:TKAG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,TKAG.DE,NORMAL_FIXED_WINDOW,False,XETR,TKAG.DE,EUR,THYSSENKRUPP,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:ZALG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ZALG.DE,NORMAL_FIXED_WINDOW,False,XETR,ZALG.DE,EUR,ZALANDO,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XHEL:KCRA.HE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,KCRA.HE,NORMAL_FIXED_WINDOW,False,XHEL,KCRA.HE,EUR,KONECRANES,FI,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XHEL:NDAFI.HE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,NDAFI.HE,NORMAL_FIXED_WINDOW,False,XHEL,NDAFI.HE,EUR,NORDEA BANK,FI,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:ADML.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ADML.L,NORMAL_FIXED_WINDOW,False,XLON,ADML.L,GBP,ADMIRAL GRP,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:AUTOA.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,AUTOA.L,NORMAL_FIXED_WINDOW,False,XLON,AUTOA.L,GBP,AUTOTRADER GROUP,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XLON:BALF.L,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BALF.L,NORMAL_FIXED_WINDOW,False,XLON,BALF.L,GBP,BALFOUR BEATTY,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
