WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Yahoo_Symbol,Original_Status,Original_Reason,Unique_Bars,Valid_Bars,First_Bar_Date,Last_Bar_Date,Last_Bar_Age_Days,Cached_Price_Rows,Invalid_Cached_Bars,Suspicious_Return_Events_Recomputed,Diagnostic_Classification,Recommended_Action,Exact_Equity_Search_Hit,Search_Result_Name,Search_Result_Exchange,Search_Errors
WS:US:MFP,"Midera Food Processing, Inc.",,US_SP1500,,MFP,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,40,40,2026-06-26,2026-08-21,3.0,40,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:MNST,Monster Beverage,,US_SP1500,,MNST,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,500,2024-08-22,2026-08-21,3.0,500,0,6,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:MP,MP Materials,,US_SP1500,,MP,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:MRNA,Moderna,,US_SP1500,,MRNA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:MXL,"MaxLinear, Inc.",,US_SP1500,,MXL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:PRIM,Primoris Services Corporation,,US_SP1500,,PRIM,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:Q,Qnity Electronics,,US_SP1500,,Q,WARMUP,INSUFFICIENT_HISTORY,206,206,2025-10-27,2026-08-21,3.0,206,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:US:SEZL,Sezzle,,US_SP1500,,SEZL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:US:SOLS,Solstice Advanced Materials,,US_SP1500,,SOLS,WARMUP,INSUFFICIENT_HISTORY,211,211,2025-10-20,2026-08-21,3.0,211,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:US:STRL,Sterling Infrastructure,,US_SP1500,,STRL,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,2024-08-22,2026-08-21,3.0,501,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
