Security_Key,Source_WS_ID,Primary_MIC,Primary_Universe_Index,security_asof,benchmark_peer_asof,future_peer_count,Result
WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003008009,WS:ISIN:TW0003008009,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003017000,WS:ISIN:TW0003017000,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003037008,WS:ISIN:TW0003037008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003045001,WS:ISIN:TW0003045001,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003231007,WS:ISIN:TW0003231007,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003443008,WS:ISIN:TW0003443008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003653002,WS:ISIN:TW0003653002,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0004904008,WS:ISIN:TW0004904008,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0006505001,WS:ISIN:TW0006505001,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0008046004,WS:ISIN:TW0008046004,XTAI,TW_TW50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XASX:ALD,WS:XASX:ALD,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ALL,WS:XASX:ALL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ALQ,WS:XASX:ALQ,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ASX,WS:XASX:ASX,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:AZJ,WS:XASX:AZJ,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:BHP,WS:XASX:BHP,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CAR,WS:XASX:CAR,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CMM,WS:XASX:CMM,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:COH,WS:XASX:COH,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:COL,WS:XASX:COL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CPU,WS:XASX:CPU,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CSL,WS:XASX:CSL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CWY,WS:XASX:CWY,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:EVN,WS:XASX:EVN,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:FMG,WS:XASX:FMG,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:GMD,WS:XASX:GMD,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:IAG,WS:XASX:IAG,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:IGO,WS:XASX:IGO,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:JBH,WS:XASX:JBH,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:LTR,WS:XASX:LTR,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:LYC,WS:XASX:LYC,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MIN,WS:XASX:MIN,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MP1,WS:XASX:MP1,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MPL,WS:XASX:MPL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MQG,WS:XASX:MQG,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:NAB,WS:XASX:NAB,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:NST,WS:XASX:NST,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ORG,WS:XASX:ORG,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ORI,WS:XASX:ORI,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PDN,WS:XASX:PDN,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PLS,WS:XASX:PLS,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PRU,WS:XASX:PRU,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:QBE,WS:XASX:QBE,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:REA,WS:XASX:REA,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RHC,WS:XASX:RHC,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RIO,WS:XASX:RIO,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RMS,WS:XASX:RMS,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RRL,WS:XASX:RRL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:S32,WS:XASX:S32,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SFR,WS:XASX:SFR,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SHL,WS:XASX:SHL,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SIG,WS:XASX:SIG,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:STO,WS:XASX:STO,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SUN,WS:XASX:SUN,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:TLC,WS:XASX:TLC,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:TLS,WS:XASX:TLS,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:TLX,WS:XASX:TLX,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WBC,WS:XASX:WBC,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WDS,WS:XASX:WDS,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WES,WS:XASX:WES,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WGX,WS:XASX:WGX,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WHC,WS:XASX:WHC,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WOW,WS:XASX:WOW,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WTC,WS:XASX:WTC,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ZIP,WS:XASX:ZIP,XASX,AU_SP_ASX200,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XNAS:AAL,WS:XNAS:AAL,XNAS,US_SP400,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AAON,WS:XNAS:AAON,XNAS,US_SP400,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AAPL,WS:XNAS:AAPL,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ABNB,WS:XNAS:ABNB,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADBE,WS:XNAS:ADBE,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADI,WS:XNAS:ADI,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADP,WS:XNAS:ADP,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADSK,WS:XNAS:ADSK,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AEIS,WS:XNAS:AEIS,XNAS,US_SP400,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AKAM,WS:XNAS:AKAM,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ALGM,WS:XNAS:ALGM,XNAS,US_SP400,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:ALGN,WS:XNAS:ALGN,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AMAT,WS:XNAS:AMAT,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AMGN,WS:XNAS:AMGN,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AMKR,WS:XNAS:AMKR,XNAS,US_SP400,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AMZN,WS:XNAS:AMZN,XNAS,US_SP500,2026-09-24,2026-09-24,0,PASS
