Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,feature_as_of_date,sync_cohort_size,peer_count,R20_num,R60_num,HomeMarket_PeerMedian_R20_v0_58,HomeMarket_PeerMedian_R60_v0_58,HomeMarket_RS20_Excess_v0_58,HomeMarket_RS60_Excess_v0_58,HomeMarket_RS_Reference_Type_v0_58
28,WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,BVMF,SBSP3,BR_IBRX100,2026-09-24,37,36,0.073423790574637701,-0.098827494982906397,0.035596581517548354,0.041666668937319698,0.037827209057089348,-0.1404941639202261,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
29,WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,BVMF,SMFT3,BR_IBRX100,2026-09-24,37,36,0.0011560958754740999,-0.12789530903656801,0.051027940028708946,0.041666668937319698,-0.049871844153234847,-0.16956197797388772,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
30,WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,BVMF,SUZB3,BR_IBRX100,2026-09-24,37,36,-0.012351022231377001,0.1229367248018757,0.051027940028708946,0.038095267613728806,-0.06337896226008595,0.084841457188146896,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
31,WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,BVMF,TIMS3,BR_IBRX100,2026-09-24,37,36,0.0016008904488753,-0.15183004204355041,0.051027940028708946,0.041666668937319698,-0.049427049579833647,-0.19349671098087012,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
32,WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BVMF,TOTS3,BR_IBRX100,2026-09-24,37,36,0.077607445166064395,0.2122153769159211,0.035596581517548354,0.038095267613728806,0.042010863648516042,0.17412010930219229,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
33,WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BVMF,UGPA3,BR_IBRX100,2026-09-24,37,36,0.15959355345786469,0.49001527929765037,0.035596581517548354,0.038095267613728806,0.12399697194031634,0.4519200116839216,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
34,WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BVMF,VALE3,BR_IBRX100,2026-09-24,37,36,-0.099298834788639906,-0.093753975171834994,0.051027940028708946,0.041666668937319698,-0.15032677481734885,-0.13542064410915469,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
35,WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BVMF,VBBR3,BR_IBRX100,2026-09-24,37,36,0.16483191951567749,0.32801906831064431,0.035596581517548354,0.038095267613728806,0.12923533799812914,0.28992380069691548,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
36,WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BVMF,VIVT3,BR_IBRX100,2026-09-24,37,36,0.011643392803990901,-0.099763145460803601,0.051027940028708946,0.041666668937319698,-0.039384547224718042,-0.1414298143981233,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
37,WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BVMF,WEGE3,BR_IBRX100,2026-09-24,37,36,0.0063467576585232001,0.096844001718180597,0.051027940028708946,0.038095267613728806,-0.044681182370185743,0.058748734104451791,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
