WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:RADL3,RADL3,,UNVERIFIED_EQUITY_SECURITY,Brazil,RADL3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BBSE3,BBSE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,BBSE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BBDC3,BBDC3,,UNVERIFIED_EQUITY_SECURITY,Brazil,BBDC3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:VIVT3,VIVT3,,UNVERIFIED_EQUITY_SECURITY,Brazil,VIVT3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CSMG3,CSMG3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CSMG3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CMIG4,CMIG4,,UNVERIFIED_EQUITY_SECURITY,Brazil,CMIG4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:ITUB3,ITUB3,,UNVERIFIED_EQUITY_SECURITY,Brazil,ITUB3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:RAIL3,RAIL3,,UNVERIFIED_EQUITY_SECURITY,Brazil,RAIL3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:TOTS3,TOTS3,,UNVERIFIED_EQUITY_SECURITY,Brazil,TOTS3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:MBRF3,MBRF3,,UNVERIFIED_EQUITY_SECURITY,Brazil,MBRF3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:KLBN11,KLBN11,,UNVERIFIED_EQUITY_SECURITY,Brazil,KLBN11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
