WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XNZE:MCY,Mercury NZ Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,MCY,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:MEL,Meridian Energy Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,MEL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:MFT,Mainfreight Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,MFT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:MNW,Manawa Energy Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,MNW,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:NZX,NZX Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,NZX,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:OCA,Oceania Healthcare Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,OCA,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:PCT,Precinct Properties NZ & Precinct Properties Investments Ltd,,UNVERIFIED_EQUITY_SECURITY,New Zealand,PCT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:PFI,Property for Industry Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,PFI,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:POT,Port of Tauranga Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,POT,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:RYM,Ryman Healthcare Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,RYM,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SAN,Sanford Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SAN,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SCL,Scales Corporation Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SCL,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
WS:XNZE:SKC,SkyCity Entertainment Group Limited,,UNVERIFIED_EQUITY_SECURITY,New Zealand,SKC,New Zealand Exchange,XNZE,NZD,,,NZ_NZX50,NZ_NZX50,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,NZ_NZX50_WIKI,2026-08-23,2026-08-23T21:30:41.119899+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/S%26P/NZX_50; identity/provider mapping pending
