WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:US:AESI,"Atlas Energy Solutions, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AESI,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AGNT,"eXp World Holdings, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AGNT,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AGO,Assured Guaranty Ltd.,,UNVERIFIED_EQUITY_SECURITY,,AGO,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AGX,"Argan, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AGX,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AGYS,"Agilysys, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AGYS,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AHCO,AdaptHealth Corp.,,UNVERIFIED_EQUITY_SECURITY,,AHCO,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AIN,Albany International Corp.,,UNVERIFIED_EQUITY_SECURITY,,AIN,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AIR,AAR Corp.,,UNVERIFIED_EQUITY_SECURITY,,AIR,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AKR,Acadia Realty Trust,,UNVERIFIED_EQUITY_SECURITY,,AKR,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ALG,Alamo Group,,UNVERIFIED_EQUITY_SECURITY,,ALG,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ALGT,Allegiant Travel Company,,UNVERIFIED_EQUITY_SECURITY,,ALGT,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ALHC,"Alignment Healthcare, Inc.",,UNVERIFIED_EQUITY_SECURITY,,ALHC,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ALKS,Alkermes plc,,UNVERIFIED_EQUITY_SECURITY,,ALKS,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ALRM,"Alarm.Com, Inc.",,UNVERIFIED_EQUITY_SECURITY,,ALRM,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AMN,"Amn Healthcare Services, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AMN,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AMPH,"Amphstar Pharmaceuticals, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AMPH,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AMR,"Alpha Metallurgical Resources, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AMR,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AMRX,Amneal Pharmaceuticals,,UNVERIFIED_EQUITY_SECURITY,,AMRX,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AMSF,"Amerisafe, Inc.",,UNVERIFIED_EQUITY_SECURITY,,AMSF,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AMTM,Amentum,,UNVERIFIED_EQUITY_SECURITY,,AMTM,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ANDE,"The Andersons, Inc.",,UNVERIFIED_EQUITY_SECURITY,,ANDE,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:ANIP,"ANI Pharmaceuticals, Inc.",,UNVERIFIED_EQUITY_SECURITY,,ANIP,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AORT,Artivion,,UNVERIFIED_EQUITY_SECURITY,,AORT,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:AOSL,"Alpha and Omega Semiconductor, Ltd.",,UNVERIFIED_EQUITY_SECURITY,,AOSL,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:APAM,"Artisan Partners Asset Management, Inc.",,UNVERIFIED_EQUITY_SECURITY,,APAM,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
WS:US:APLE,"Apple Hospitality REIT, Inc.",,UNVERIFIED_EQUITY_SECURITY,,APLE,US primary exchange pending,,USD,,,US_SP1500,US_SP1500;US_SP600,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,US_SP600,2026-08-23,2026-08-23T21:30:40.125978+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/List_of_S%26P_600_companies; identity/provider mapping pending
