WS_ID,Yahoo_Symbol,Mapping_Status,Instrument_Type_Before,Instrument_Type_After,Verified_Share_Class,Share_Class_After,Class_Bucket,Action,Universe_Write_Fields
WS:XSWX:PSPN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:ROPC.S,ROP.SW,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,participation certificate,participation certificate,REVIEW,HOLD_REVIEW,Share_Class
WS:XSWX:SCHP.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SCMN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SDZ.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SFSN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SFZN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SGSN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SIGNC.S,SIGN.SW,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,registered shares,registered shares,REVIEW,HOLD_REVIEW,Share_Class
WS:XSWX:SIKA.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SLHN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SOON.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SPSN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SQN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SRENH.S,SREN.SW,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,registered shares,registered shares,REVIEW,HOLD_REVIEW,Share_Class
WS:XSWX:STMN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SUN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:SUNN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:TEMN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:UBSG.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:UHR.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:VACN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:VATN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:VZN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XSWX:ZURN.S,,UNMAPPED,UNKNOWN,UNKNOWN,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTAI:3711,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTAI:6669,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTAI:7769,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1332,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1605,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1721,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1801,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1802,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1803,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1808,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1812,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1925,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1928,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:1963,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2002,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2269,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2282,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2413,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2432,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2501,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2502,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2503,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2768,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2801,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2802,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:285A,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2871,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:2914,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3086,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3092,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3099,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3289,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3382,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3401,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3402,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3405,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3407,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3436,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3659,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3697,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:3861,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4004,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4005,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4021,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4042,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4043,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4061,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4062,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4063,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4151,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4183,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4188,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4208,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4307,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4324,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4385,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4452,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4502,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4503,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4506,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4507,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4519,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4523,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4543,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4568,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4578,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4661,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4689,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4704,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4751,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4755,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4901,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4902,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:4911,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5019,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5020,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5101,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5108,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5201,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5214,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5233,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5301,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5332,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5333,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5401,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5406,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5411,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:543A,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5631,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5706,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5711,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5713,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5714,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5801,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5802,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5803,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:5831,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6098,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6103,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6113,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6146,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6178,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6273,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6301,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6302,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:XTKS:6305,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
