WS_ID,Yahoo_Symbol,Mapping_Status,Instrument_Type_Before,Instrument_Type_After,Verified_Share_Class,Share_Class_After,Class_Bucket,Action,Universe_Write_Fields
WS:XMIL:BCU.MI,BC.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:CPRI.MI,CPR.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:CRDI.MI,UCG.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:EMII.MI,BPE.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:ENEI.MI,ENEL.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:GASI.MI,G.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:HRA.MI,HER.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:ITPG.MI,IP.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:LDOF.MI,LDO.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:NEXII.MI,NEXI.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:RECI.MI,REC.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:SPMI.MI,SPM.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:TENR.MI,TEN.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:TLIT.MI,TIT.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:UNPI.MI,UNI.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XOSL:GJFG.OL,GJF.OL,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:ACCP.PA,AC.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:AIRP.PA,AI.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:ALSO.PA,ALO.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:AXAF.PA,CS.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:BIOX.PA,BIM.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:BNPP.PA,BNP.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:BOLL.PA,BOL.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:BOUY.PA,EN.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:CAGR.PA,ACA.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:CAPP.PA,CAP.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:CARR.PA,CA.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:CVO.PA,COV.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:DANO.PA,BN.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:DAST.PA,DSY.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:ENGIE.PA,ENGI.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:ESLX.PA,EL.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:EUFI.PA,ERF.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:EXHO.PA,SW.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:FOUG.PA,FGR.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:GETP.PA,GET.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:GFCP.PA,GFC.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:HRMS.PA,RMS.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:LEGD.PA,LR.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:LOIM.PA,LI.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:LVMH.PA,MC.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:MICP.PA,ML.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:NEXS.PA,NEX.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:ORAN.PA,ORA.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:OREP.PA,OR.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:PERP.PA,RI.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:PRTP.PA,KER.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:PUBP.PA,PUB.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:RENA.PA,RNO.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:RUBF.PA,RUI.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SASY.PA,SAN.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SCHN.PA,SU.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XPAR:SCOR.PA,SCR.PA,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / actions ordinaires,ordinary shares / actions ordinaires,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
