Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Sector,Sector_Taxonomy,Sector_Source,Mapping_Status,Mapping_Authority,RS_Peer_Group_Eligibility,Sector_RS_Capability
47,WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
48,WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
49,WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
50,WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
51,WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
52,WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
53,WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
54,WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
55,WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
56,WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
57,WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
58,WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
59,WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
60,WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
61,WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
62,WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
63,WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
64,WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
65,WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
66,WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
67,WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
68,WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
