Security_Key,Source_WS_ID,R1_Materialized,R1_Independent,R1_Exact,TrueRange_Current_Materialized,TrueRange_Current_Independent,TrueRange_Current_Exact
WSSEC:WS:XNYS:AZO,WS:XNYS:AZO,0.006474748549348819,0.006474748549348819,True,99.580078125,99.580078125,True
WSSEC:WS:XNYS:BA,WS:XNYS:BA,-0.015655428093268697,-0.015655428093268697,True,5.529998779296875,5.529998779296875,True
WSSEC:WS:XNYS:BAC,WS:XNYS:BAC,0.0005356924874442281,0.0005356924874442281,True,0.6899986267089844,0.6899986267089844,True
WSSEC:WS:XNYS:BAH,WS:XNYS:BAH,0.0040222857119665,0.0040222857119665,True,1.1800003051757812,1.1800003051757812,True
WSSEC:WS:XNYS:BALL,WS:XNYS:BALL,-0.03672220092857592,-0.03672220092857592,True,2.479999542236328,2.479999542236328,True
WSSEC:WS:XNYS:BAX,WS:XNYS:BAX,-0.0004257228173383254,-0.0004257228173383254,True,0.5599994659423828,0.5599994659423828,True
WSSEC:WS:XNYS:BBWI,WS:XNYS:BBWI,-0.02816090700348839,-0.02816090700348839,True,0.6399993896484375,0.6399993896484375,True
WSSEC:WS:XNYS:BBY,WS:XNYS:BBY,0.002202609488109575,0.002202609488109575,True,2.850006103515625,2.850006103515625,True
WSSEC:WS:XNYS:BC,WS:XNYS:BC,-0.022946010092259717,-0.022946010092259717,True,2.1700057983398438,2.1700057983398438,True
WSSEC:WS:XNYS:BCO,WS:XNYS:BCO,0.008763666425797734,0.008763666425797734,True,1.9200057983398438,1.9200057983398438,True
WSSEC:WS:XNYS:BDC,WS:XNYS:BDC,-0.0033356935024823064,-0.0033356935024823064,True,2.3000030517578125,2.3000030517578125,True
WSSEC:WS:XNYS:BDX,WS:XNYS:BDX,-0.018025468265991496,-0.018025468265991496,True,4.7400054931640625,4.7400054931640625,True
WSSEC:WS:XNYS:BEN,WS:XNYS:BEN,-0.004891465970357056,-0.004891465970357056,True,0.6399993896484375,0.6399993896484375,True
WSSEC:WS:XNYS:BILL,WS:XNYS:BILL,-0.010721007458587284,-0.010721007458587284,True,1.4599990844726562,1.4599990844726562,True
WSSEC:WS:XNYS:BIO,WS:XNYS:BIO,0.002444097928337996,0.002444097928337996,True,8.1099853515625,8.1099853515625,True
WSSEC:WS:XNYS:BJ,WS:XNYS:BJ,0.003042472921990891,0.003042472921990891,True,1.2249984741210938,1.2249984741210938,True
WSSEC:WS:XNYS:BKH,WS:XNYS:BKH,0.021433672131168757,0.021433672131168757,True,2.9600067138671875,2.9600067138671875,True
WSSEC:WS:XNYS:BKR,WS:XNYS:BKR,-0.012751988270479409,-0.012751988270479409,True,1.2899971008300781,1.2899971008300781,True
WSSEC:WS:XNYS:BLDR,WS:XNYS:BLDR,-0.014874933576486948,-0.014874933576486948,True,1.7300033569335938,1.7300033569335938,True
WSSEC:WS:XNYS:BMY,WS:XNYS:BMY,0.0057236053211375815,0.0057236053211375815,True,0.9900016784667969,0.9900016784667969,True
WSSEC:WS:XNYS:BNY,WS:XNYS:BNY,0.004548243994077827,0.004548243994077827,True,1.519989013671875,1.519989013671875,True
WSSEC:WS:XNYS:BR,WS:XNYS:BR,-0.00483324136361396,-0.00483324136361396,True,3.5399932861328125,3.5399932861328125,True
WSSEC:WS:XNYS:BRO,WS:XNYS:BRO,-0.02220419635241988,-0.02220419635241988,True,2.2600021362304688,2.2600021362304688,True
WSSEC:WS:XNYS:BROS,WS:XNYS:BROS,-0.021983444423013476,-0.021983444423013476,True,2.2789993286132812,2.2789993286132812,True
WSSEC:WS:XNYS:BSX,WS:XNYS:BSX,0.0013447192901687721,0.0013447192901687721,True,0.7000007629394531,0.7000007629394531,True
WSSEC:WS:XNYS:BURL,WS:XNYS:BURL,0.061909616383533095,0.061909616383533095,True,16.55999755859375,16.55999755859375,True
WSSEC:WS:XNYS:BWA,WS:XNYS:BWA,0.0,0.0,True,0.9300003051757812,0.9300003051757812,True
WSSEC:WS:XNYS:BWXT,WS:XNYS:BWXT,-0.00033895777053705167,-0.00033895777053705167,True,3.6199951171875,3.6199951171875,True
WSSEC:WS:XNYS:BYD,WS:XNYS:BYD,-0.0053446537361134805,-0.0053446537361134805,True,1.910003662109375,1.910003662109375,True
WSSEC:WS:XNYS:C,WS:XNYS:C,0.0012886639670495192,0.0012886639670495192,True,2.1399993896484375,2.1399993896484375,True
WSSEC:WS:XNYS:CACI,WS:XNYS:CACI,0.009603604954475653,0.009603604954475653,True,13.1500244140625,13.1500244140625,True
WSSEC:WS:XNYS:CAH,WS:XNYS:CAH,0.006101101905634954,0.006101101905634954,True,4.0999908447265625,4.0999908447265625,True
WSSEC:WS:XNYS:CARR,WS:XNYS:CARR,-0.004174220482861757,-0.004174220482861757,True,0.80999755859375,0.80999755859375,True
WSSEC:WS:XNYS:CAT,WS:XNYS:CAT,-0.008337256925214809,-0.008337256925214809,True,17.82000732421875,17.82000732421875,True
WSSEC:WS:XNYS:CAVA,WS:XNYS:CAVA,0.006971351948228843,0.006971351948228843,True,1.5919990539550781,1.5919990539550781,True
WSSEC:WS:XNYS:CBT,WS:XNYS:CBT,-0.01097631813943667,-0.01097631813943667,True,1.6699981689453125,1.6699981689453125,True
WSSEC:WS:XNYS:CCK,WS:XNYS:CCK,-0.004303970736660001,-0.004303970736660001,True,1.899993896484375,1.899993896484375,True
WSSEC:WS:XNYS:CDE,WS:XNYS:CDE,-0.012145737264080192,-0.012145737264080192,True,0.6000003814697266,0.6000003814697266,True
WSSEC:WS:XNYS:CF,WS:XNYS:CF,-0.018236049066417293,-0.018236049066417293,True,4.420005798339844,4.420005798339844,True
WSSEC:WS:XNYS:CFG,WS:XNYS:CFG,0.0018573401245689514,0.0018573401245689514,True,1.035003662109375,1.035003662109375,True
WSSEC:WS:XNYS:CFR,WS:XNYS:CFR,-0.006633276209953687,-0.006633276209953687,True,2.160003662109375,2.160003662109375,True
WSSEC:WS:XNYS:CHD,WS:XNYS:CHD,-0.007185949136997216,-0.007185949136997216,True,1.7700042724609375,1.7700042724609375,True
