Security_Key,Source_WS_ID,Family,Constituents,Missing_Constituents,Binding_Status,Numeric_Family_Column_Created
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
