Security_Key,Source_WS_ID,Feature,Materialized,Independent,Exact_Match
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,Dist_High20,-0.03751541216266707,-0.03751541216266707,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,Dist_High60,-0.03751541216266707,-0.03751541216266707,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,EMA20_Slope_5,0.008399046724718362,0.008399046724718362,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,EMA50_Slope_10,-0.006049443383996156,-0.006049443383996156,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,Range5_Pct,0.09973756434329323,0.09973756434329323,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,Range10_Pct,0.1181102505097214,0.1181102505097214,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,RangeCompression_5_20,0.6333336247338652,0.6333336247338652,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,RangeCompression_10_20,0.7500001986821808,0.7500001986821808,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,RVOL20,0.718467817749039,0.718467817749039,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,Gap_Over_ATR14,-0.11430145212117601,-0.11430145212117601,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,DailyMove_Over_ATR14,-0.4572017207910642,-0.4572017207910642,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,Dist_High20,-0.0707316996581775,-0.0707316996581775,True
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,Dist_High60,-0.09069215017934884,-0.09069215017934884,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,EMA20_Slope_5,0.001153296602003362,0.001153296602003362,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,EMA50_Slope_10,-0.007412312653899411,-0.007412312653899411,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,Range5_Pct,0.03838772832353744,0.03838772832353744,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,Range10_Pct,0.056360137233248266,0.056360137233248266,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,RangeCompression_5_20,0.5104413014232104,0.5104413014232104,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,RangeCompression_10_20,0.7494202718969057,0.7494202718969057,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,RVOL20,0.826109549251862,0.826109549251862,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,Gap_Over_ATR14,0.043454276644910875,0.043454276644910875,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,DailyMove_Over_ATR14,0.4842085181697472,0.4842085181697472,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,Dist_High20,-0.01546122187488086,-0.01546122187488086,True
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,Dist_High60,-0.1549690116311706,-0.1549690116311706,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,EMA20_Slope_5,-0.042819274326556966,-0.042819274326556966,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,EMA50_Slope_10,-0.02837004062540549,-0.02837004062540549,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,Range5_Pct,0.10604962456720599,0.10604962456720599,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,Range10_Pct,0.21938783702429152,0.21938783702429152,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,RangeCompression_5_20,0.3579338321218657,0.3579338321218657,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,RangeCompression_10_20,0.7404677720218437,0.7404677720218437,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,RVOL20,1.1032729132337065,1.1032729132337065,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,Gap_Over_ATR14,0.08905298551637703,0.08905298551637703,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,DailyMove_Over_ATR14,0.10389538567730414,0.10389538567730414,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,Dist_High20,-0.21058682799017792,-0.21058682799017792,True
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,Dist_High60,-0.22704223847725025,-0.22704223847725025,True
