WS_ID,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_AsOf_UTC,Evidence_Status
WS:XLON:BPTB.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:BT.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:HOCM.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:ICAG.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:ICGIN.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:MRON.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:PAFR.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:PLUSP.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:RS1R.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:SHCS.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:SJP.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:TCAPI.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMAD:AMA.MC,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMAD:ENAG.MC,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMAD:GRLS.MC,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMAD:PUIGB.MC,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMAD:REDE.MC,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMAD:SABE.MC,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:A2.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:AZMT.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XMIL:BCU.MI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
