WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US0326541051:XNAS,ADI,US0326541051,XNAS,Analog Devices,ADMIT,PASS,PREFERRED,1071461841.18,ELIGIBLE,NO
US1:US0374111054:XNYS,APA,US0374111054,XNYS,APA Corporation,ADMIT,PASS,PREFERRED,176975065.42,ELIGIBLE,NO
US1:US0378331005:XNAS,AAPL,US0378331005,XNAS,Apple Inc.,ADMIT,PASS,PREFERRED,10641476897.86,ELIGIBLE,NO
US1:US0382221051:XNAS,AMAT,US0382221051,XNAS,Applied Materials,ADMIT,PASS,PREFERRED,2761907727.55,ELIGIBLE,NO
US1:US03831W1080:XNAS,APP,US03831W1080,XNAS,AppLovin,ADMIT,PASS,PREFERRED,1285167108.06,ELIGIBLE,NO
US1:US0394831020:XNYS,ADM,US0394831020,XNYS,Admiral Group,ADMIT,PASS,PREFERRED,245167092.15,ELIGIBLE,NO
US1:US03990B1017:XNYS,ARES,US03990B1017,XNYS,Ares Management,ADMIT,PASS,PREFERRED,218502315.77,ELIGIBLE,NO
US1:US0404131064:XNYS,ANET,US0404131064,XNYS,Arista Networks,ADMIT,PASS,PREFERRED,851319281.43,ELIGIBLE,NO
US1:US3635761097:XNYS,AJG,US3635761097,XNYS,Arthur J. Gallagher & Co.,ADMIT,PASS,PREFERRED,310959056.3,ELIGIBLE,NO
US1:US04621X1081:XNYS,AIZ,US04621X1081,XNYS,Air New Zealand,ADMIT,PASS,PREFERRED,69762093.84,ELIGIBLE,NO
US1:US00206R1023:XNYS,T,US00206R1023,XNYS,AT&T,ADMIT,PASS,PREFERRED,670096294.59,ELIGIBLE,NO
US1:US0495601058:XNYS,ATO,US0495601058,XNYS,Atos SE,ADMIT,PASS,PREFERRED,131942490.48,ELIGIBLE,NO
US1:US0527691069:XNAS,ADSK,US0527691069,XNAS,Autodesk,ADMIT,PASS,PREFERRED,382245670.27,ELIGIBLE,NO
US1:US0530151036:XNAS,ADP,US0530151036,XNAS,Automatic Data Processing,ADMIT,PASS,PREFERRED,476200237.77,ELIGIBLE,NO
US1:US0533321024:XNYS,AZO,US0533321024,XNYS,AutoZone,ADMIT,PASS,PREFERRED,702626340.68,ELIGIBLE,NO
US1:US0536111091:XNYS,AVY,US0536111091,XNYS,Avery Dennison,ADMIT,PASS,PREFERRED,111435632.1,ELIGIBLE,NO
