WS_ID,Yahoo_Symbol,Liquidity_Class,MedianTurnover20_EUR,Usable20,FX,Quote_Scale
US1:US4435106079:XNYS,HUBB,PREFERRED,176903418.44,20,USDEUR=X,1
US1:US4448591028:XNYS,HUM,PREFERRED,311536167.48,20,USDEUR=X,1
US1:US4464131063:XNYS,HII,PREFERRED,103626047.32,20,USDEUR=X,1
US1:US4592001014:XNYS,IBM,PREFERRED,926335032.52,20,USDEUR=X,1
US1:US45167R1041:XNYS,IEX,PREFERRED,101187441.05,20,USDEUR=X,1
US1:US45168D1046:XNAS,IDXX,PREFERRED,241495372.01,20,USDEUR=X,1
US1:US4523081093:XNYS,ITW,PREFERRED,224672379.96,20,USDEUR=X,1
US1:US45337C1027:XNAS,INCY,PREFERRED,127626691.85,20,USDEUR=X,1
US1:US4581401001:XNAS,INTC,PREFERRED,7581187159.14,20,USDEUR=X,1
US1:US45841N1072:XNAS,IBKR,PREFERRED,284456131.58,20,USDEUR=X,1
US1:US45866F1049:XNYS,ICE,PREFERRED,433108940.3,20,USDEUR=X,1
US1:US4595061015:XNYS,IFF,PREFERRED,105676801.39,20,USDEUR=X,1
US1:US4601461035:XNYS,IP,PREFERRED,124603679.99,20,USDEUR=X,1
US1:US4612021034:XNAS,INTU,PREFERRED,1021769429.17,20,USDEUR=X,1
US1:US46120E6023:XNAS,ISRG,PREFERRED,657580382.34,20,USDEUR=X,1
US1:US46266C1053:XNYS,IQV,PREFERRED,268063451.55,20,USDEUR=X,1
US1:US4456581077:XNAS,JBHT,PREFERRED,178125119.48,20,USDEUR=X,1
US1:US4663131039:XNYS,JBL,PREFERRED,253732544.38,20,USDEUR=X,1
US1:US4262811015:XNAS,JKHY,PREFERRED,124598864.04,20,USDEUR=X,1
US1:US4698141078:XNYS,J,PREFERRED,114598040.11,20,USDEUR=X,1
US1:US4781601046:XNYS,JNJ,PREFERRED,1418025183.16,20,USDEUR=X,1
US1:US46625H1005:XNYS,JPM,PREFERRED,1623934678.29,20,USDEUR=X,1
US1:US49177J1025:XNYS,KVUE,PREFERRED,314310947.21,20,USDEUR=X,1
US1:US4932671088:XNYS,KEY,PREFERRED,178298719.1,20,USDEUR=X,1
US1:US49338L1035:XNYS,KEYS,PREFERRED,300588422.96,20,USDEUR=X,1
US1:US4943681035:XNYS,KMB,PREFERRED,271375483.81,20,USDEUR=X,1
US1:US49456B1017:XNYS,KMI,PREFERRED,257847689.76,20,USDEUR=X,1
US1:US48248M1027:XNYS,KKR,PREFERRED,373124897.22,20,USDEUR=X,1
US1:US4824801009:XNAS,KLAC,PREFERRED,1453783883.64,20,USDEUR=X,1
US1:US5007541064:XNAS,KHC,PREFERRED,301670579.15,20,USDEUR=X,1
US1:US5010441013:XNYS,KR,PREFERRED,271302259.98,20,USDEUR=X,1
US1:US5024311095:XNYS,LHX,PREFERRED,337234629.95,20,USDEUR=X,1
US1:US50540R4092:XNYS,LH,PREFERRED,155454946.57,20,USDEUR=X,1
US1:US5128071082:XNAS,LRCX,PREFERRED,2064586351.37,20,USDEUR=X,1
US1:US5178341070:XNYS,LVS,PREFERRED,158694264.93,20,USDEUR=X,1
US1:US5253271028:XNYS,LDOS,PREFERRED,143815700.24,20,USDEUR=X,1
US1:US5260571048:XNYS,LEN,PREFERRED,157882931.63,20,USDEUR=X,1
US1:US5261071071:XNYS,LII,PREFERRED,148068451.45,20,USDEUR=X,1
US1:US5324571083:XNYS,LLY,PREFERRED,2492969749.7,20,USDEUR=X,1
US1:US5380341090:XNYS,LYV,PREFERRED,255979669.71,20,USDEUR=X,1
US1:US5398301094:XNYS,LMT,PREFERRED,484323568.01,20,USDEUR=X,1
US1:US5404241086:XNYS,L,PREFERRED,56894038.67,20,USDEUR=X,1
US1:US5486611073:XNYS,LOW,PREFERRED,531425281.36,20,USDEUR=X,1
US1:US5500211090:XNAS,LULU,PREFERRED,333638823.22,20,USDEUR=X,1
US1:US55024U1097:XNAS,LITE,PREFERRED,3180105491.4,20,USDEUR=X,1
US1:US55261F1049:XNYS,MTB,PREFERRED,167017293.68,20,USDEUR=X,1
US1:US56585A1025:XNYS,MPC,PREFERRED,730947478.56,20,USDEUR=X,1
US1:US5719032022:XNAS,MAR,PREFERRED,410761323.98,20,USDEUR=X,1
US1:US5732841060:XNYS,MLM,PREFERRED,258855213.54,20,USDEUR=X,1
US1:US5738741041:XNAS,MRVL,PREFERRED,4171661687.22,20,USDEUR=X,1
US1:US5745991068:XNYS,MAS,PREFERRED,114479561.71,20,USDEUR=X,1
US1:US57636Q1040:XNYS,MA,PREFERRED,1377576870.2,20,USDEUR=X,1
US1:US5797802064:XNYS,MKC,PREFERRED,110567347.84,20,USDEUR=X,1
