WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Unique_Bars,Valid_Bars,Future_Bars,Duplicate_Dates,History_State,History_Source
US1:US49177J1025:XNYS,KVUE,US49177J1025,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4932671088:XNYS,KEY,US4932671088,XNYS,502,502,0,0,PASS,yfinance_download
US1:US49338L1035:XNYS,KEYS,US49338L1035,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4943681035:XNYS,KMB,US4943681035,XNYS,502,502,0,0,PASS,yfinance_download
US1:US49456B1017:XNYS,KMI,US49456B1017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US48248M1027:XNYS,KKR,US48248M1027,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4824801009:XNAS,KLAC,US4824801009,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5007541064:XNAS,KHC,US5007541064,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5010441013:XNYS,KR,US5010441013,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5024311095:XNYS,LHX,US5024311095,XNYS,502,502,0,0,PASS,yfinance_download
US1:US50540R4092:XNYS,LH,US50540R4092,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5128071082:XNAS,LRCX,US5128071082,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5178341070:XNYS,LVS,US5178341070,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5253271028:XNYS,LDOS,US5253271028,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5260571048:XNYS,LEN,US5260571048,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5261071071:XNYS,LII,US5261071071,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5324571083:XNYS,LLY,US5324571083,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5380341090:XNYS,LYV,US5380341090,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5398301094:XNYS,LMT,US5398301094,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5404241086:XNYS,L,US5404241086,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5486611073:XNYS,LOW,US5486611073,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5500211090:XNAS,LULU,US5500211090,XNAS,502,502,0,0,PASS,yfinance_download
US1:US55024U1097:XNAS,LITE,US55024U1097,XNAS,502,502,0,0,PASS,yfinance_download
US1:US55261F1049:XNYS,MTB,US55261F1049,XNYS,502,502,0,0,PASS,yfinance_download
US1:US56585A1025:XNYS,MPC,US56585A1025,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5719032022:XNAS,MAR,US5719032022,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5732841060:XNYS,MLM,US5732841060,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5738741041:XNAS,MRVL,US5738741041,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5745991068:XNYS,MAS,US5745991068,XNYS,502,502,0,0,PASS,yfinance_download
US1:US57636Q1040:XNYS,MA,US57636Q1040,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5797802064:XNYS,MKC,US5797802064,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5801351017:XNYS,MCD,US5801351017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US58155Q1031:XNYS,MCK,US58155Q1031,XNYS,502,502,0,0,PASS,yfinance_download
US1:US58933Y1055:XNYS,MRK,US58933Y1055,XNYS,502,502,0,0,PASS,yfinance_download
US1:US30303M1027:XNAS,META,US30303M1027,XNAS,502,502,0,0,PASS,yfinance_download
US1:US59156R1086:XNYS,MET,US59156R1086,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5926881054:XNYS,MTD,US5926881054,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5529531015:XNYS,MGM,US5529531015,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5950171042:XNAS,MCHP,US5950171042,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5951121038:XNAS,MU,US5951121038,XNAS,502,502,0,0,PASS,yfinance_download
US1:US5949181045:XNAS,MSFT,US5949181045,XNAS,502,502,0,0,PASS,yfinance_download
US1:US60770K1079:XNAS,MRNA,US60770K1079,XNAS,502,502,0,0,PASS,yfinance_download
US1:US60871R2094:XNYS,TAP,US60871R2094,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6092071058:XNAS,MDLZ,US6092071058,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6098391054:XNAS,MPWR,US6098391054,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6117401017:XNAS,MNST,US6117401017,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6153691059:XNYS,MCO,US6153691059,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6174464486:XNYS,MS,US6174464486,XNYS,502,502,0,0,PASS,yfinance_download
US1:US61945C1036:XNYS,MOS,US61945C1036,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6200763075:XNYS,MSI,US6200763075,XNYS,502,502,0,0,PASS,yfinance_download
US1:US55354G1004:XNYS,MSCI,US55354G1004,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6311031081:XNAS,NDAQ,US6311031081,XNAS,502,502,0,0,PASS,yfinance_download
US1:US64120L1044:XNAS,NTAP,US64120L1044,XNAS,502,502,0,0,PASS,yfinance_download
US1:US64110L1061:XNAS,NFLX,US64110L1061,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6516391066:XNYS,NEM,US6516391066,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3025711041:XNYS,NEE,US3025711041,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6541061031:XNYS,NKE,US6541061031,XNYS,502,502,0,0,PASS,yfinance_download
US1:US65473P1057:XNYS,NI,US65473P1057,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6556631025:XNAS,NDSN,US6556631025,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6558441084:XNYS,NSC,US6558441084,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6658591044:XNAS,NTRS,US6658591044,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6668071029:XNYS,NOC,US6668071029,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6293775085:XNYS,NRG,US6293775085,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6703461052:XNYS,NUE,US6703461052,XNYS,502,502,0,0,PASS,yfinance_download
US1:US67066G1040:XNAS,NVDA,US67066G1040,XNAS,502,502,0,0,PASS,yfinance_download
US1:US62944T1051:XNYS,NVR,US62944T1051,XNYS,502,502,0,0,PASS,yfinance_download
US1:US67103H1077:XNAS,ORLY,US67103H1077,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6745991058:XNYS,OXY,US6745991058,XNYS,502,502,0,0,PASS,yfinance_download
US1:US6795801009:XNAS,ODFL,US6795801009,XNAS,502,502,0,0,PASS,yfinance_download
US1:US6819191064:XNYS,OMC,US6819191064,XNYS,502,502,0,0,PASS,yfinance_download
