Issuer_Key,Primary_MIC,Canonical_WS_ID,Canonical_Ticker,ISIN,Group_N,Eligibility_DryRun,Note
Q1089060,XNYS,US1:US1712321017:XNYS,CB,US1712321017,1,ELIGIBLE,unapplied to 1633
Q5116536,XNYS,US1:US1713401024:XNYS,CHD,US1713401024,1,ELIGIBLE,unapplied to 1633
Q642271,XNYS,US1:US1255091092:XNYS,CI,US1255091092,1,ELIGIBLE,unapplied to 1633
Q5120253,XNAS,US1:US1720621010:XNAS,CINF,US1720621010,1,ELIGIBLE,unapplied to 1633
Q1092571,XNAS,US1:US1729081059:XNAS,CTAS,US1729081059,1,ELIGIBLE,unapplied to 1633
Q173395,XNAS,US1:US17275R1023:XNAS,CSCO,US17275R1023,1,ELIGIBLE,unapplied to 1633
Q181114,XNYS,US1:US1729674242:XNYS,C,US1729674242,1,ELIGIBLE,unapplied to 1633
Q5122694,XNYS,US1:US1746101054:XNYS,CFG,US1746101054,1,ELIGIBLE,unapplied to 1633
Q910368,XNYS,US1:US1890541097:XNYS,CLX,US1890541097,1,ELIGIBLE,unapplied to 1633
Q1023876,XNAS,US1:US12572Q1058:XNAS,CME,US12572Q1058,1,ELIGIBLE,unapplied to 1633
Q5013012,XNYS,US1:US1258961002:XNYS,CMS,US1258961002,1,ELIGIBLE,unapplied to 1633
Q3295867,XNYS,US1:US1912161007:XNYS,KO,US1912161007,1,ELIGIBLE,unapplied to 1633
Q1107035,XNAS,US1:US1924461023:XNAS,CTSH,US1924461023,1,ELIGIBLE,unapplied to 1633
Q16972754,XNAS,US1:US19260Q1076:XNAS,COIN,US19260Q1076,1,ELIGIBLE,unapplied to 1633
Q609466,XNYS,US1:US1941621039:XNYS,CL,US1941621039,1,ELIGIBLE,unapplied to 1633
Q1113804,XNAS,US1:US20030N2001:XNAS,CMCSA,US20030N2001,1,ELIGIBLE,unapplied to 1633
Q5151691,XNYS,US1:US1999081045:XNYS,FIX,US1999081045,1,ELIGIBLE,unapplied to 1633
Q214763,XNYS,US1:US20825C1045:XNYS,COP,US20825C1045,1,ELIGIBLE,unapplied to 1633
Q1127536,XNYS,US1:US2091151041:XNYS,ED,US2091151041,1,ELIGIBLE,unapplied to 1633
